"","g_yr","g_id","g_st","g_cy","t_p","t_p_wh","t_p_bl","t_p_na","t_p_as","t_p_nh","t_p_or","t_p_mr","I","t_h","t_h_wh","t_h_bl","t_h_na","t_h_as","t_h_nh","t_h_or","t_h_mr","t_h_hi","t_h_n_hi","t_h_wa","t_h_nw","t_h_nf","t_u","t_u_oc","t_u_vc","t_u_oc_ro","t_u_oc_oo"
"1","1960","340050BJ000100",34,3,7036,6345,682,NA,NA,NA,9,NA,NA,NA,1993,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,380,2131,2073,30,358,1715
"2","1960","340050BJ000200",34,3,3324,3218,101,NA,NA,NA,5,NA,NA,NA,1004,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,233,1041,1003,24,250,753
"3","1960","340050BJ000300",34,3,8302,7499,775,NA,NA,NA,28,NA,NA,NA,2233,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,260,2408,2234,86,197,2037
"4","1960","340050BJ000400",34,3,12947,12923,2,NA,NA,NA,22,NA,NA,NA,3640,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,406,3698,3632,29,269,3363
"5","1960","340050BJ000500",34,3,12497,11594,878,NA,NA,NA,25,NA,NA,NA,3508,NA,NA,NA,NA,247,NA,NA,NA,NA,NA,608,3796,3613,74,653,2960
"6","1960","340050BJ000600",34,3,5327,5277,50,NA,NA,NA,0,NA,NA,NA,1412,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,148,1480,1435,24,163,1272
"7","1960","340050BJ000700",34,3,8474,8291,179,NA,NA,NA,4,NA,NA,NA,2533,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,559,2627,2553,50,632,1921
"8","1960","340050BJ000800",34,3,4011,4007,4,NA,NA,NA,0,NA,NA,NA,1149,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,148,1189,1144,15,184,960
"9","1960","340050BJ000900",34,3,3400,2859,541,NA,NA,NA,0,NA,NA,NA,1002,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,266,1036,1003,16,322,681
"10","1960","340050BJ001000",34,3,2866,2838,27,NA,NA,NA,1,NA,NA,NA,776,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,84,886,788,28,122,666
"11","1960","340050BJ001100",34,3,6291,6245,41,NA,NA,NA,5,NA,NA,NA,1761,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,260,1854,1671,101,232,1439
"12","1960","340050BJ001200",34,3,12687,9931,2739,NA,NA,NA,17,NA,NA,NA,3559,NA,NA,NA,NA,691,NA,NA,NA,NA,NA,972,3883,3662,92,1007,2655
"13","1960","340050BJ001300",34,3,8127,7616,509,NA,NA,NA,2,NA,NA,NA,2374,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,386,2511,2422,53,435,1987
"14","1960","340050BJ001400",34,3,2084,2038,44,NA,NA,NA,2,NA,NA,NA,597,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,120,617,579,18,169,410
"15","1960","340050BJ002000",34,3,28528,25910,2346,NA,NA,NA,272,NA,NA,NA,25983,NA,NA,NA,NA,2204,NA,NA,NA,NA,NA,27296,855,822,28,749,73
"16","1960","340050BJ002100",34,3,4846,3944,658,NA,NA,NA,244,NA,NA,NA,1373,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,136,1435,1341,83,1276,65
"17","1960","340050BJ002400",34,3,1956,1930,21,NA,NA,NA,5,NA,NA,NA,535,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,87,564,523,10,158,365
"18","1960","340070CJ000100",34,4,3570,3244,309,NA,NA,NA,17,NA,NA,NA,924,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,171,1077,1017,47,164,853
"19","1960","340070CJ000200",34,4,5359,5334,12,NA,NA,NA,13,NA,NA,NA,1444,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,306,1605,1555,36,513,1042
"20","1960","340070CJ000300",34,4,4353,4347,4,NA,NA,NA,2,NA,NA,NA,1223,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,144,1259,1235,8,181,1054
"21","1960","340070CJ000400",34,4,4276,3796,478,NA,NA,NA,2,NA,NA,NA,1276,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,444,1443,1421,7,773,648
"22","1960","340070CJ000500",34,4,11761,11598,139,NA,NA,NA,24,NA,NA,NA,3484,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,545,3824,3702,78,1491,2211
"23","1960","340070CJ000600",34,4,6582,6582,0,NA,NA,NA,0,NA,NA,NA,2060,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,387,2183,2131,43,509,1622
"24","1960","340070CJ000700",34,4,5304,3979,1315,NA,NA,NA,10,NA,NA,NA,2219,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,1463,1730,1603,101,764,839
"25","1960","340070CJ000800",34,4,4469,3900,561,NA,NA,NA,8,NA,NA,NA,1154,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,315,1318,1211,65,511,700
"26","1960","340070CJ000900",34,4,5041,4482,489,NA,NA,NA,70,NA,NA,NA,1414,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,438,1562,1445,73,407,1038
"27","1960","340070CJ001000",34,4,4172,1389,2728,NA,NA,NA,55,NA,NA,NA,1249,NA,NA,NA,NA,716,NA,NA,NA,NA,NA,788,1391,1275,72,610,665
"28","1960","340070CJ0011A0",34,4,1371,744,599,NA,NA,NA,28,NA,NA,NA,484,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,432,433,404,14,238,166
"29","1960","340070CJ0011B0",34,4,3404,1960,1426,NA,NA,NA,13,NA,NA,NA,1288,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,950,1469,1272,111,987,285
"30","1960","340070CJ0012A0",34,4,1695,1025,664,NA,NA,NA,6,NA,NA,NA,463,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,201,501,477,17,159,318
"31","1960","340070CJ0012B0",34,4,2234,1137,1095,NA,NA,NA,2,NA,NA,NA,480,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,187,575,535,28,167,368
"32","1960","340070CJ001300",34,4,2593,471,2103,NA,NA,NA,19,NA,NA,NA,649,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,495,779,680,19,372,308
"33","1960","340070CJ001400",34,4,4074,2927,1136,NA,NA,NA,11,NA,NA,NA,1209,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,485,1226,1165,41,466,699
"34","1960","340070CJ001500",34,4,3479,1140,2297,NA,NA,NA,42,NA,NA,NA,971,NA,NA,NA,NA,603,NA,NA,NA,NA,NA,614,1068,1019,18,375,644
"35","1960","340070CJ001600",34,4,3442,1181,2225,NA,NA,NA,36,NA,NA,NA,1047,NA,NA,NA,NA,648,NA,NA,NA,NA,NA,687,1006,963,23,292,671
"36","1960","340070CJ0017A0",34,4,775,176,590,NA,NA,NA,9,NA,NA,NA,249,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,222,252,245,0,118,127
"37","1960","340070CJ0017B0",34,4,3585,1630,1946,NA,NA,NA,9,NA,NA,NA,893,NA,NA,NA,NA,454,NA,NA,NA,NA,NA,316,1069,988,47,444,544
"38","1960","340070CJ001800",34,4,6715,2471,4235,NA,NA,NA,9,NA,NA,NA,1551,NA,NA,NA,NA,816,NA,NA,NA,NA,NA,737,1898,1820,27,1022,798
"39","1960","340070CJ001900",34,4,3373,2490,876,NA,NA,NA,7,NA,NA,NA,1054,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,354,1046,1025,15,294,731
"40","1960","340070CJ002000",34,4,6437,4302,2118,NA,NA,NA,17,NA,NA,NA,1884,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,422,2058,1967,71,507,1460
"41","1960","340070CJ002100",34,4,3149,3113,32,NA,NA,NA,4,NA,NA,NA,956,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,206,1046,1002,30,170,832
"42","1960","340070CJ002200",34,4,4192,4179,13,NA,NA,NA,0,NA,NA,NA,1228,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,173,1342,1304,24,123,1181
"43","1960","340070CJ002300",34,4,4565,4502,59,NA,NA,NA,0,NA,NA,NA,1325,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,193,1462,1394,64,513,881
"44","1960","340070CJ002400",34,4,7108,7097,0,NA,NA,NA,11,NA,NA,NA,2252,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,411,2393,2353,23,486,1867
"45","1960","340070CJ004000",34,4,1973,1971,1,NA,NA,NA,1,NA,NA,NA,614,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,121,622,622,6,107,515
"46","1960","340070CJ004900",34,4,4459,4451,0,NA,NA,NA,8,NA,NA,NA,1236,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,282,1319,1268,30,320,948
"47","1960","340070CJ005000",34,4,4517,4508,3,NA,NA,NA,5,NA,NA,NA,1279,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,388,1334,1252,33,388,864
"48","1960","340070CJ005100",34,4,2947,2940,0,NA,NA,NA,7,NA,NA,NA,871,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,133,936,902,17,141,761
"49","1960","340070CJ005200",34,4,3538,3525,0,NA,NA,NA,13,NA,NA,NA,1066,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,172,1090,1056,12,374,682
"50","1960","340070CJ005300",34,4,2504,2503,0,NA,NA,NA,1,NA,NA,NA,748,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,99,767,755,2,190,565
"51","1960","340070CJ006500",34,4,2165,60,2100,NA,NA,NA,5,NA,NA,NA,633,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,472,631,584,10,114,470
"52","1960","340070CJ007100",34,4,4596,4588,2,NA,NA,NA,6,NA,NA,NA,1159,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,34,1199,1173,15,28,1145
