"","g_yr","g_id","g_st","g_cy","t_p","t_p_wh","t_p_bl","t_p_na","t_p_as","t_p_nh","t_p_or","t_p_mr","I","t_h","t_h_wh","t_h_bl","t_h_na","t_h_as","t_h_nh","t_h_or","t_h_mr","t_h_hi","t_h_n_hi","t_h_wa","t_h_nw","t_h_nf","t_u","t_u_oc","t_u_vc","t_u_oc_ro","t_u_oc_oo"
"1","1940",3400700010000,34,7,4042,4042,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1087,41,642,445
"2","1940",3400700020000,34,7,4428,4424,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1142,1125,17,691,434
"3","1940",3400700030000,34,7,4003,4003,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1084,1058,26,614,444
"4","1940",3400700040000,34,7,4446,4185,261,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1277,1251,26,924,327
"5","1940",3400700050000,34,7,6058,5904,152,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1697,1638,59,1089,549
"6","1940",3400700060000,34,7,6296,6293,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792,1755,37,1020,735
"7","1940",3400700070000,34,7,6463,6439,23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939,1864,75,1210,654
"8","1940",3400700080000,34,7,4577,4574,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,1216,59,789,427
"9","1940",3400700090000,34,7,5779,5768,0,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1656,1592,64,1100,492
"10","1940",3400700100000,34,7,5556,3985,1565,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532,1456,76,1074,382
"11","1940",3400700110000,34,7,5703,5016,678,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,1608,98,1243,365
"12","1940",3400700120000,34,7,5181,4295,881,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,1139,41,626,513
"13","1940",3400700130000,34,7,3538,1936,1597,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844,810,34,634,176
"14","1940",3400700140000,34,7,5478,5247,231,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305,1281,24,704,577
"15","1940",3400700150000,34,7,4282,2478,1802,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1143,1118,25,764,354
"16","1940",3400700160000,34,7,4106,2412,1688,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131,1101,30,722,379
"17","1940",3400700170000,34,7,4929,3272,1650,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,1244,26,873,371
