"","g_yr","g_id","g_st","g_cy","t_p","t_p_wh","t_p_bl","t_p_na","t_p_as","t_p_nh","t_p_or","t_p_mr","I","t_h","t_h_wh","t_h_bl","t_h_na","t_h_as","t_h_nh","t_h_or","t_h_mr","t_h_hi","t_h_n_hi","t_h_wa","t_h_nw","t_h_nf","t_u","t_u_oc","t_u_vc","t_u_oc_ro","t_u_oc_oo"
"1","1950","42017B0010000",42,17,5269,5170,91,NA,NA,NA,8,NA,32120,1379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,1388,192,300,1088
"2","1950","42017B0020000",42,17,6096,5803,293,NA,NA,NA,0,NA,32500,1659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824,1662,162,278,1384
"3","1950","42017B0030000",42,17,7248,7244,2,NA,NA,NA,2,NA,32930,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2161,1959,202,312,1647
"4","1950","42017B0040000",42,17,4936,4729,206,NA,NA,NA,1,NA,32180,1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,1355,47,718,637
"5","1950","42017B0050000",42,17,3083,3082,0,NA,NA,NA,1,NA,34250,873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,867,14,223,644
"6","1950","42017B0060000",42,17,5793,5607,183,NA,NA,NA,3,NA,30290,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605,1580,25,622,958
"7","1950","42017B0070000",42,17,3834,3727,106,NA,NA,NA,1,NA,32500,959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,983,966,17,259,707
"8","1950","42017B0080000",42,17,2646,2617,29,NA,NA,NA,0,NA,24850,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,669,106,196,473
"9","1950","42017B0090000",42,17,2341,2341,0,NA,NA,NA,0,NA,33610,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,827,654,173,109,545
"10","1950","42017B0100000",42,17,860,860,0,NA,NA,NA,0,NA,0,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,254,28,100,154
"11","1950","42017B0110000",42,17,1100,1100,0,NA,NA,NA,0,NA,0,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,295,13,83,212
"12","1950","42017B0120000",42,17,781,745,36,NA,NA,NA,0,NA,0,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,152,10,36,116
"13","1950","42017B0130000",42,17,1579,1392,185,NA,NA,NA,2,NA,27290,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,436,8,165,271
"14","1950","42017B0140000",42,17,3562,3556,6,NA,NA,NA,0,NA,33880,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194,1022,172,122,900
"15","1950","42017B0150000",42,17,2027,2010,11,NA,NA,NA,6,NA,40250,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,601,22,96,505
"16","1950","42017B0160000",42,17,7127,7081,33,NA,NA,NA,13,NA,30990,1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824,1761,63,1297,464
"17","1950","42017B0170000",42,17,358,358,0,NA,NA,NA,0,NA,0,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,106,2,31,75
"18","1950","42017B0180000",42,17,2336,2316,18,NA,NA,NA,2,NA,31330,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,653,78,138,515
"19","1950","42017B0190000",42,17,828,818,10,NA,NA,NA,0,NA,0,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,224,16,61,163
"20","1950","42017B0200000",42,17,1367,1363,4,NA,NA,NA,0,NA,0,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,390,37,83,307
"21","1950","42017B0210000",42,17,3688,3678,6,NA,NA,NA,4,NA,26390,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,980,66,225,755
"22","1950","42017B0220000",42,17,384,384,0,NA,NA,NA,0,NA,0,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,114,5,41,73
"23","1950","42017B0230000",42,17,1626,1565,61,NA,NA,NA,0,NA,0,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,464,71,133,331
"24","1950","42017B0240000",42,17,4358,4354,4,NA,NA,NA,0,NA,32240,1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,1317,101,382,935
"25","1950","42017B0250000",42,17,2373,2371,2,NA,NA,NA,0,NA,32320,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,730,21,222,508
"26","1950","42017B0260000",42,17,528,528,0,NA,NA,NA,0,NA,0,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,147,3,44,103
"27","1950","42017B0270000",42,17,2020,1999,21,NA,NA,NA,0,NA,22670,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,536,151,121,415
"28","1950","42017B0280000",42,17,2865,2865,0,NA,NA,NA,0,NA,24260,767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,770,157,181,589
"29","1950","42017B0290000",42,17,838,838,0,NA,NA,NA,0,NA,0,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,238,5,92,146
"30","1950","42017B0300000",42,17,3050,3041,9,NA,NA,NA,0,NA,30000,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,909,860,49,224,636
"31","1950","42017B0310000",42,17,5673,5662,11,NA,NA,NA,0,NA,30380,1783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1813,1788,25,651,1137
"32","1950","42017B0320000",42,17,762,760,2,NA,NA,NA,0,NA,0,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,213,3,74,139
"33","1950","42017B0330000",42,17,1084,1074,9,NA,NA,NA,1,NA,0,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,300,62,78,222
"34","1950","42017B0340000",42,17,2668,2662,3,NA,NA,NA,3,NA,26580,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836,751,85,229,522
"35","1950","42017B0350000",42,17,668,668,0,NA,NA,NA,0,NA,0,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,197,39,61,136
"36","1950","42017B0360000",42,17,871,871,0,NA,NA,NA,0,NA,0,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,279,10,114,165
"37","1950","42017B0370000",42,17,1305,1305,0,NA,NA,NA,0,NA,0,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,379,85,59,320
"38","1950","42017B0380000",42,17,944,944,0,NA,NA,NA,0,NA,0,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,261,50,64,197
