Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T023_001,SE_T038_001,SE_T045_001,SE_T046_001,SE_T046_002,SE_T046_003,SE_T046_004,SE_T046_005,SE_T051_001,SE_T051_002,SE_T051_003
"0042T","42-T","140","4210104220000","42","101",5044,5044,5032,8,4,36670,1594,1598,1598,1586,12,6,6,1586,1062,524
"0042U","42-U","140","4210104221000","42","101",6980,6980,6303,671,6,31630,1888,1917,1917,1892,25,8,17,1892,1526,366
"0042V","42-V","140","4210104222000","42","101",6482,6482,6478,4,0,38530,1999,2018,2018,1988,30,20,10,1988,1305,683
"0042W","42-W","140","4210104223000","42","101",3383,3383,3372,11,0,41360,1216,1219,1219,1198,21,6,15,1198,598,600
"0042X","42-X","140","4210104224000","42","101",143,143,143,0,0,0,17,21,21,17,4,0,4,17,10,7
"0042Y","42-Y","140","4210104225000","42","101",4284,4284,4258,21,5,39060,1227,1256,1256,1230,26,16,10,1230,974,256
"0042Z","42-Z","140","4210104226000","42","101",3642,3642,3635,0,7,36920,1128,1153,1153,1121,32,24,8,1121,855,266
"0042AA","42-AA","140","4210104227000","42","101",8013,8013,8010,2,1,35880,2411,2447,2447,2417,30,9,21,2417,1825,592
"0042BB","42-BB","140","4210104228000","42","101",4588,4588,4583,4,1,38570,1390,1423,1423,1390,33,4,29,1390,998,392
"0042CC","42-CC","140","4210104229000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0042DD","42-DD","140","4210104230000","42","101",9284,9284,9277,3,4,34740,2632,2660,2660,2637,23,17,6,2637,2193,444
"0042EE","42-EE","140","4210104231000","42","101",5851,5851,5851,0,0,33490,1818,1836,1836,1809,27,15,12,1809,1361,448
"0042FF","42-FF","140","4210104232000","42","101",2677,2677,2677,0,0,35880,795,798,798,786,12,8,4,786,601,185
"0042GG","42-GG","140","4210104233000","42","101",8285,8285,8277,3,5,38040,2372,2376,2376,2337,39,16,23,2337,1915,422
"0042HH","42-HH","140","4210104234000","42","101",10071,10071,10032,19,20,36070,3286,3304,3304,3278,26,15,11,3278,2013,1265
"0042II","42-II","140","4210104235000","42","101",4927,4927,4906,7,14,35660,1444,1467,1467,1457,10,4,6,1457,1142,315
"0042JJ","42-JJ","140","4210104236000","42","101",2016,2016,2015,1,0,36610,556,556,556,555,1,0,1,555,472,83
"0042KK","42-KK","140","4210104237000","42","101",4130,4130,4121,1,8,32590,1191,1203,1203,1182,21,10,11,1182,920,262
"0043A","43-A","140","4210104301000","42","101",7638,7638,7625,1,12,33170,2342,2346,2346,2329,17,10,7,2329,1871,458
"0043B","43-B","140","4210104302000","42","101",6410,6410,6081,324,5,30440,1885,1906,1906,1880,26,7,19,1880,1200,680
"0043C","43-C","140","4210104303000","42","101",6069,6069,5726,340,3,29340,1798,1832,1832,1802,30,14,16,1802,1032,770
"0043D","43-D","140","4210104304000","42","101",16448,16448,16263,179,6,31980,4737,4803,4803,4736,67,34,33,4736,3339,1397
"0043E","43-E","140","4210104305000","42","101",10819,10819,10816,2,1,30240,3211,3277,3277,3203,74,19,55,3203,2215,988
"0044A","44-A","140","4210104401000","42","101",12405,12405,9962,2435,8,27320,3162,3205,3205,3152,53,18,35,3152,1702,1450
"0044B","44-B","140","4210104402000","42","101",15168,15168,4070,11082,16,20310,3562,3628,3628,3580,48,13,35,3580,1814,1766
"0044C","44-C","140","4210104403000","42","101",13979,13979,4069,9881,29,23590,4003,4105,4105,4039,66,27,39,4039,2472,1567
"0045A","45-A","140","4210104501000","42","101",3166,3166,3164,2,0,31970,814,835,835,815,20,6,14,815,651,164
"0045B","45-B","140","4210104502000","42","101",34,34,30,4,0,0,0,0,0,0,0,0,0,0,0,0
"0045C","45-C","140","4210104503000","42","101",5922,5922,5921,1,0,34020,1545,1572,1572,1551,21,12,9,1551,1356,195
"0045D","45-D","140","4210104504000","42","101",489,489,487,1,1,0,140,148,148,142,6,0,6,142,109,33
"0045E","45-E","140","4210104505000","42","101",1265,1265,1265,0,0,0,327,336,336,333,3,1,2,333,180,153
"0045F","45-F","140","4210104506000","42","101",1927,1927,1910,10,7,36250,571,593,593,581,12,5,7,581,459,122
"0045G","45-G","140","4210104507000","42","101",8548,8548,8533,7,8,31740,2470,2509,2509,2481,28,12,16,2481,1804,677
"0045H","45-H","140","4210104508000","42","101",2804,2804,2739,65,0,30100,742,765,765,747,18,8,10,747,573,174
"0045I","45-I","140","4210104509000","42","101",7656,7656,7637,17,2,33650,2005,2017,2017,2004,13,7,6,2004,1711,293
"0045J","45-J","140","4210104510000","42","101",1049,1049,1012,36,1,0,275,281,281,274,7,0,7,274,207,67
"0045K","45-K","140","4210104511000","42","101",338,338,338,0,0,0,104,107,107,103,4,4,0,103,81,22
"0046A","46-A","140","4210104601000","42","101",9813,9813,9534,269,10,32790,3736,3767,3767,3716,51,30,21,3716,763,2953
"0046B","46-B","140","4210104602000","42","101",11356,11356,10335,972,49,26730,3531,3596,3596,3515,81,48,33,3515,1841,1674
"0046C","46-C","140","4210104603000","42","101",8110,8110,7306,790,14,32260,2276,2282,2282,2263,19,13,6,2263,1505,758
"0046D","46-D","140","4210104604000","42","101",14305,14305,14255,26,24,32780,4365,4474,4474,4396,78,46,32,4396,2882,1514
"0046E","46-E","140","4210104605000","42","101",10802,10802,10788,7,7,37600,2980,3010,3010,2978,32,19,13,2978,2382,596
"0046F","46-F","140","4210104606000","42","101",13066,13066,13034,26,6,33210,3434,3435,3435,3414,21,17,4,3414,2745,669
"0046G","46-G","140","4210104607000","42","101",6756,6756,6744,4,8,34190,2096,2150,2150,2096,54,21,33,2096,1353,743
"0046H","46-H","140","4210104608000","42","101",7221,7221,7189,30,2,31460,2373,2350,2350,2334,16,3,13,2334,913,1421
"0046I","46-I","140","4210104609000","42","101",6777,6777,6588,173,16,28350,2676,2783,2783,2708,75,37,38,2708,667,2041
"0046J","46-J","140","4210104610000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0047A","47-A","140","4210104701000","42","101",17201,17201,5263,11902,36,18560,5762,5998,5998,5745,253,147,106,5745,816,4929
"0047B","47-B","140","4210104702000","42","101",5768,5768,123,5628,17,17690,1629,1674,1674,1633,41,27,14,1633,309,1324
"0047C","47-C","140","4210104703000","42","101",10670,10670,2408,8253,9,13910,2467,2543,2543,2469,74,30,44,2469,554,1915
"0047D","47-D","140","4210104704000","42","101",3055,3055,1146,1907,2,13520,822,852,852,825,27,6,21,825,124,701
"0048A","48-A","140","4210104801000","42","101",16570,16570,16540,10,20,34550,4255,4289,4289,4251,38,17,21,4251,3379,872
"0048B","48-B","140","4210104802000","42","101",5774,5774,5639,130,5,31170,1429,1437,1437,1426,11,8,3,1426,578,848
"0048C","48-C","140","4210104803000","42","101",4786,4786,4772,9,5,38450,1286,1302,1302,1285,17,6,11,1285,788,497
"0048D","48-D","140","4210104804000","42","101",3681,3681,2734,931,16,20100,834,842,842,835,7,5,2,835,122,713
"0048E","48-E","140","4210104805000","42","101",986,986,972,2,12,0,243,249,249,245,4,3,1,245,0,245
"0048F","48-F","140","4210104806000","42","101",3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0
