Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"13A","13-A","140","4210101301000","42","101",5849,5849,3394,2441,14,1763,1763,1689,74,71,3,1689,234,1455
"13B","13-B","140","4210101302000","42","101",4878,4878,3463,1405,10,1794,1794,1628,166,162,4,1628,118,1510
"14A","14-A","140","4210101401000","42","101",7406,7406,3572,3814,20,2096,2096,2024,72,64,8,2024,244,1780
"14B","14-B","140","4210101402000","42","101",2307,2307,1963,303,41,559,559,518,41,38,3,518,76,442
"15A","15-A","140","4210101501000","42","101",15187,15187,13620,1521,46,6733,6733,5865,868,864,4,5865,624,5241
"15B","15-B","140","4210101502000","42","101",2544,2544,2325,209,10,779,779,703,76,76,0,703,80,623
"15C","15-C","140","4210101503000","42","101",9713,9713,7694,2014,5,2781,2781,2526,255,250,5,2526,592,1934
"15D","15-D","140","4210101504000","42","101",10678,10678,10630,47,1,3231,3231,2707,524,521,3,2707,1057,1650
"15E","15-E","140","4210101505000","42","101",5,5,3,2,0,3,3,3,0,0,0,3,0,3
"16A","16-A","140","4210101601000","42","101",8157,8157,7863,290,4,2379,2379,2194,185,179,6,2194,553,1641
"17A","17-A","140","4210101701000","42","101",10218,10218,10048,161,9,2990,2990,2767,223,219,4,2767,634,2133
"18A","18-A","140","4210101801000","42","101",4740,4740,4731,7,2,1254,1254,1184,70,65,5,1184,419,765
"18B","18-B","140","4210101802000","42","101",7031,7031,7028,3,0,1844,1844,1776,68,65,3,1776,793,983
"18C","18-C","140","4210101803000","42","101",4028,4028,4027,0,1,1082,1082,1033,49,49,0,1033,426,607
"18D","18-D","140","4210101804000","42","101",4450,4450,4450,0,0,1064,1064,1014,50,49,1,1014,535,479
"19A","19-A","140","4210101901000","42","101",17128,17128,16596,507,25,4652,4652,4465,187,172,15,4465,1641,2824
"19B","19-B","140","4210101902000","42","101",10712,10712,10564,135,13,3207,3207,3074,133,130,3,3074,1189,1885
"19C","19-C","140","4210101903000","42","101",12854,12854,12679,161,14,3435,3435,3251,184,179,5,3251,1163,2088
"20A","20-A","140","4210102001000","42","101",14526,14526,12068,2426,32,4711,4711,4309,402,398,4,4309,890,3419
"20B","20-B","140","4210102002000","42","101",11681,11681,1759,9901,21,3345,3345,3143,202,202,0,3143,327,2816
"20C","20-C","140","4210102003000","42","101",2718,2718,1055,1654,9,867,867,814,53,51,2,814,95,719
"20D","20-D","140","4210102004000","42","101",11440,11440,6490,4939,11,3376,3376,3189,187,186,1,3189,504,2685
"21A","21-A","140","4210102101000","42","101",955,955,928,27,0,493,493,373,120,117,3,373,38,335
"21B","21-B","140","4210102102000","42","101",1039,1039,1019,20,0,257,257,246,11,11,0,246,135,111
"21C","21-C","140","4210102103000","42","101",53,53,53,0,0,15,15,14,1,0,1,14,1,13
"21D","21-D","140","4210102104000","42","101",271,271,271,0,0,71,71,69,2,2,0,69,40,29
"21E","21-E","140","4210102105000","42","101",311,311,308,3,0,84,84,84,0,0,0,84,43,41
"21F","21-F","140","4210102106000","42","101",187,187,186,0,1,51,51,48,3,3,0,48,12,36
"21G","21-G","140","4210102107000","42","101",279,279,279,0,0,77,77,71,6,6,0,71,26,45
"21H","21-H","140","4210102108000","42","101",109,109,90,19,0,27,27,27,0,0,0,27,10,17
"21I","21-I","140","4210102109000","42","101",175,175,175,0,0,49,49,48,1,1,0,48,15,33
"21J","21-J","140","4210102110000","42","101",546,546,546,0,0,158,158,152,6,6,0,152,99,53
"21K","21-K","140","4210102111000","42","101",237,237,233,4,0,56,56,53,3,3,0,53,38,15
"21L","21-L","140","4210102112000","42","101",108,108,108,0,0,27,27,26,1,1,0,26,13,13
"21M","21-M","140","4210102113000","42","101",334,334,334,0,0,78,78,78,0,0,0,78,30,48
"21N","21-N","140","4210102114000","42","101",3769,3769,3686,82,1,848,848,838,10,9,1,838,449,389
"21O","21-O","140","4210102115000","42","101",1609,1609,1609,0,0,427,427,422,5,5,0,422,233,189
"21P","21-P","140","4210102116000","42","101",821,821,817,4,0,216,216,212,4,3,1,212,148,64
"21Q","21-Q","140","4210102117000","42","101",2058,2058,2023,33,2,564,564,555,9,9,0,555,325,230
"21R","21-R","140","4210102118000","42","101",4985,4985,4937,48,0,1269,1269,1250,19,16,3,1250,747,503
"21S","21-S","140","4210102119000","42","101",7232,7232,6785,447,0,1675,1675,1628,47,46,1,1628,877,751
"21T","21-T","140","4210102120000","42","101",8202,8202,8079,123,0,1920,1920,1888,32,32,0,1888,1028,860
"21U","21-U","140","4210102121000","42","101",1782,1782,1781,1,0,498,498,489,9,8,1,489,247,242
"21V","21-V","140","4210102122000","42","101",4317,4317,4310,7,0,1135,1135,1088,47,45,2,1088,571,517
"22A","22-A","140","4210102201000","42","101",6077,6077,5656,420,1,1502,1502,1452,50,50,0,1452,604,848
"22B","22-B","140","4210102202000","42","101",706,706,702,4,0,162,162,160,2,2,0,160,66,94
"22C","22-C","140","4210102203000","42","101",758,758,756,2,0,204,204,189,15,15,0,189,93,96
"22D","22-D","140","4210102204000","42","101",2823,2823,2799,23,1,938,938,842,96,96,0,842,425,417
