Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 2092.02,"Census Tract 2092.02, Montgomery County, Pennsylvania",42091209202,140,0,42,91,20,,209202,2287,2287,1949,229,4,6,1,25,73,920,820,72,2,2,1,10,13,920,22,898,920,810,110,971,920,601,319,971,920,51,330,78
Census Tract 2101,"Census Tract 2101, Montgomery County, Pennsylvania",42091210100,140,0,42,91,20,,210100,3871,3871,3451,187,4,114,0,45,70,1494,1373,64,3,31,0,10,13,1494,34,1460,1494,1353,141,1528,1494,1177,317,1528,1494,34,397,131
Census Tract 2102,"Census Tract 2102, Montgomery County, Pennsylvania",42091210200,140,0,42,91,20,,210200,2786,2786,2361,275,1,77,1,21,50,1045,908,103,0,20,0,5,9,1045,14,1031,1045,901,144,1066,1045,1014,31,1066,1045,21,218,64
Census Tract 2103,"Census Tract 2103, Montgomery County, Pennsylvania",42091210300,140,0,42,91,20,,210300,3921,3921,3501,271,4,97,0,8,40,1507,1406,48,1,40,0,2,10,1507,15,1492,1507,1395,112,1585,1507,1173,334,1585,1507,78,533,71
Census Tract 2104,"Census Tract 2104, Montgomery County, Pennsylvania",42091210400,140,0,42,91,20,,210400,4597,4597,3638,704,6,139,1,35,74,1918,1589,258,3,41,0,8,19,1918,29,1889,1918,1569,349,2007,1918,1365,553,2007,1918,89,763,101
Census Tract 2105,"Census Tract 2105, Montgomery County, Pennsylvania",42091210500,140,0,42,91,20,,210500,4243,4243,3284,720,10,116,0,25,88,1586,1340,191,3,27,0,5,20,1586,18,1568,1586,1329,257,1635,1586,1315,271,1635,1586,49,510,95
Census Tract 2106,"Census Tract 2106, Montgomery County, Pennsylvania",42091210600,140,0,42,91,20,,210600,4097,4097,3308,374,9,325,0,15,66,1627,1380,118,1,114,0,3,11,1627,23,1604,1627,1363,264,1712,1627,1189,438,1712,1627,85,540,85
Census Tract 2107,"Census Tract 2107, Montgomery County, Pennsylvania",42091210700,140,0,42,91,20,,210700,5792,5792,4849,152,8,697,0,14,72,1991,1734,49,3,187,0,2,16,1991,34,1957,1991,1704,287,2039,1991,1777,214,2039,1991,48,371,136
Census Tract 1,"Census Tract 1, Philadelphia County, Pennsylvania",42101000100,140,0,42,101,21,,100,3478,3478,2968,212,8,174,2,35,79,2301,1980,150,7,104,1,17,42,2301,76,2225,2301,1930,371,2696,2301,818,1483,2696,2301,395,1791,126
Census Tract 2,"Census Tract 2, Philadelphia County, Pennsylvania",42101000200,140,0,42,101,21,,200,2937,2937,711,295,3,1856,1,26,45,1145,360,29,0,734,0,6,16,1145,29,1116,1145,340,805,1285,1145,364,781,1285,1145,140,620,79
Census Tract 3,"Census Tract 3, Philadelphia County, Pennsylvania",42101000300,140,0,42,101,21,,300,3169,3169,2386,328,1,329,1,39,85,1855,1384,234,1,175,1,21,39,1855,79,1776,1855,1327,528,1968,1855,453,1402,1968,1855,113,1362,135
Census Tract 4.01,"Census Tract 4.01, Philadelphia County, Pennsylvania",42101000401,140,0,42,101,21,,401,2125,2125,1122,382,11,520,0,20,70,1584,824,317,8,366,0,15,54,1584,77,1507,1584,772,812,1790,1584,344,1240,1790,1584,206,1320,107
Census Tract 4.02,"Census Tract 4.02, Philadelphia County, Pennsylvania",42101000402,140,0,42,101,21,,402,3142,3142,2534,176,4,356,4,26,42,2273,1884,101,4,241,2,17,24,2273,63,2210,2273,1840,433,2709,2273,1386,887,2709,2273,436,1806,109
Census Tract 5,"Census Tract 5, Philadelphia County, Pennsylvania",42101000500,140,0,42,101,21,,500,2329,2329,959,899,12,341,2,56,60,684,408,60,4,174,1,16,21,684,28,656,684,396,288,797,684,45,639,797,684,113,576,306
Census Tract 6,"Census Tract 6, Philadelphia County, Pennsylvania",42101000600,140,0,42,101,21,,600,1781,1781,1232,265,1,162,0,48,73,723,559,45,0,91,0,11,17,723,31,692,723,536,187,814,723,29,694,814,723,91,602,142
Census Tract 7,"Census Tract 7, Philadelphia County, Pennsylvania",42101000700,140,0,42,101,21,,700,3082,3082,2205,287,6,468,0,33,83,2176,1572,205,3,319,0,20,57,2176,99,2077,2176,1506,670,2489,2176,556,1620,2489,2176,313,1832,142
Census Tract 8.01,"Census Tract 8.01, Philadelphia County, Pennsylvania",42101000801,140,0,42,101,21,,801,1562,1562,1289,49,4,169,4,13,34,1017,849,34,0,109,1,7,17,1017,50,967,1017,808,209,1078,1017,294,723,1078,1017,61,758,90
Census Tract 8.03,"Census Tract 8.03, Philadelphia County, Pennsylvania",42101000803,140,0,42,101,21,,803,3601,3601,2983,75,2,443,3,13,82,2590,2151,54,1,326,2,10,46,2590,86,2504,2590,2089,501,2844,2590,967,1623,2844,2590,254,2059,122
Census Tract 8.04,"Census Tract 8.04, Philadelphia County, Pennsylvania",42101000804,140,0,42,101,21,,804,3609,3609,2985,99,1,424,1,26,73,2589,2123,78,1,314,1,22,50,2589,111,2478,2589,2035,554,3066,2589,613,1976,3066,2589,477,2068,179
Census Tract 9.01,"Census Tract 9.01, Philadelphia County, Pennsylvania",42101000901,140,0,42,101,21,,901,2276,2276,1580,223,4,352,1,40,76,1729,1210,160,4,278,1,24,52,1729,66,1663,1729,1170,559,1877,1729,172,1557,1877,1729,148,1548,94
Census Tract 9.02,"Census Tract 9.02, Philadelphia County, Pennsylvania",42101000902,140,0,42,101,21,,902,2773,2773,1869,172,3,640,2,17,70,1419,941,126,2,319,2,6,23,1419,48,1371,1419,908,511,1582,1419,230,1189,1582,1419,163,1049,112
Census Tract 10.01,"Census Tract 10.01, Philadelphia County, Pennsylvania",42101001001,140,0,42,101,21,,1001,2603,2603,2348,70,0,132,0,18,35,1600,1464,42,0,69,0,8,17,1600,42,1558,1600,1430,170,1733,1600,1031,569,1733,1600,133,1044,72
Census Tract 10.02,"Census Tract 10.02, Philadelphia County, Pennsylvania",42101001002,140,0,42,101,21,,1002,3612,3612,3184,94,5,220,2,33,74,2099,1884,47,2,117,1,17,31,2099,64,2035,2099,1840,259,2348,2099,1253,846,2348,2099,249,1350,120
Census Tract 11.01,"Census Tract 11.01, Philadelphia County, Pennsylvania",42101001101,140,0,42,101,21,,1101,3586,3586,2885,348,3,229,3,21,97,2097,1737,186,1,133,1,6,33,2097,73,2024,2097,1673,424,2263,2097,657,1440,2263,2097,166,1765,162
Census Tract 11.02,"Census Tract 11.02, Philadelphia County, Pennsylvania",42101001102,140,0,42,101,21,,1102,2659,2659,2228,134,3,187,1,20,86,1624,1400,73,0,109,1,8,33,1624,50,1574,1624,1365,259,1741,1624,564,1060,1741,1624,117,1226,109
Census Tract 12.01,"Census Tract 12.01, Philadelphia County, Pennsylvania",42101001201,140,0,42,101,21,,1201,3778,3778,3343,87,6,222,1,33,86,2052,1833,49,1,121,1,15,32,2052,66,1986,2052,1787,265,2193,2052,1046,1006,2193,2052,141,1282,145
