Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 7001.02,"Census Tract 7001.02, Burlington County, New Jersey",34005700102,140,0,34,5,19,,700102,2638,2638,2420,109,4,32,3,24,46,1052,983,45,1,7,2,6,8,1052,17,1035,1052,974,78,1118,1052,877,175,1118,1052,66,315,61
Census Tract 7001.03,"Census Tract 7001.03, Burlington County, New Jersey",34005700103,140,0,34,5,19,,700103,2839,2839,2343,303,7,76,3,40,67,1401,1190,141,5,33,2,16,14,1401,56,1345,1401,1156,245,1519,1401,1026,375,1519,1401,118,672,154
Census Tract 7001.04,"Census Tract 7001.04, Burlington County, New Jersey",34005700104,140,0,34,5,19,,700104,1921,1921,1063,664,12,28,0,80,74,703,419,230,7,8,0,20,19,703,43,660,703,403,300,755,703,439,264,755,703,52,231,182
Census Tract 7002,"Census Tract 7002, Burlington County, New Jersey",34005700200,140,0,34,5,19,,700200,2779,2779,2596,92,3,21,2,13,52,1057,1001,33,1,4,0,5,13,1057,22,1035,1057,984,73,1112,1057,827,230,1112,1057,55,302,56
Census Tract 7003.03,"Census Tract 7003.03, Burlington County, New Jersey",34005700303,140,0,34,5,19,,700303,2897,2897,2166,514,2,88,0,48,79,1107,857,190,1,28,0,14,17,1107,41,1066,1107,832,275,1187,1107,904,203,1187,1107,80,338,148
Census Tract 7003.04,"Census Tract 7003.04, Burlington County, New Jersey",34005700304,140,0,34,5,19,,700304,2454,2454,2254,88,0,30,3,39,40,881,836,23,0,8,0,9,5,881,19,862,881,826,55,907,881,830,51,907,881,26,204,87
Census Tract 7003.05,"Census Tract 7003.05, Burlington County, New Jersey",34005700305,140,0,34,5,19,,700305,4894,4894,4560,123,5,128,0,15,63,1762,1657,46,1,38,0,5,15,1762,32,1730,1762,1633,129,1832,1762,1695,67,1832,1762,70,383,116
Census Tract 7003.06,"Census Tract 7003.06, Burlington County, New Jersey",34005700306,140,0,34,5,19,,700306,2542,2542,2383,54,2,42,0,38,23,864,822,13,1,13,0,9,6,864,17,847,864,812,52,892,864,837,27,892,864,28,136,68
Census Tract 7003.07,"Census Tract 7003.07, Burlington County, New Jersey",34005700307,140,0,34,5,19,,700307,2782,2782,2568,76,4,82,0,13,39,921,863,23,1,22,0,4,8,921,13,908,921,853,68,940,921,908,13,940,921,19,122,59
Census Tract 7004.01,"Census Tract 7004.01, Burlington County, New Jersey",34005700401,140,0,34,5,19,,700401,2051,2051,1955,21,0,29,1,13,32,783,756,6,0,8,0,4,9,783,14,769,783,748,35,816,783,694,89,816,783,33,246,60
Census Tract 7004.02,"Census Tract 7004.02, Burlington County, New Jersey",34005700402,140,0,34,5,19,,700402,3345,3345,3126,81,4,44,0,32,58,1283,1233,11,2,11,0,10,16,1283,37,1246,1283,1208,75,1323,1283,1182,101,1323,1283,40,368,138
Census Tract 7004.03,"Census Tract 7004.03, Burlington County, New Jersey",34005700403,140,0,34,5,19,,700403,4438,4438,4087,139,1,96,1,64,50,1676,1584,36,1,21,0,19,15,1676,57,1619,1676,1551,125,1763,1676,1231,445,1763,1676,87,587,206
Census Tract 7004.05,"Census Tract 7004.05, Burlington County, New Jersey",34005700405,140,0,34,5,19,,700405,1643,1643,1513,35,1,43,0,23,28,668,622,17,1,15,0,8,5,668,17,651,668,613,55,694,668,532,136,694,668,26,228,65
Census Tract 7004.07,"Census Tract 7004.07, Burlington County, New Jersey",34005700407,140,0,34,5,19,,700407,5529,5529,2872,1253,21,648,2,410,323,2819,1645,626,9,254,2,142,141,2819,349,2470,2819,1502,1317,3139,2819,339,2480,3139,2819,320,1574,959
Census Tract 7004.08,"Census Tract 7004.08, Burlington County, New Jersey",34005700408,140,0,34,5,19,,700408,2125,2125,1487,297,4,220,1,59,57,1296,961,177,3,99,1,28,27,1296,78,1218,1296,920,376,1451,1296,161,1135,1451,1296,155,864,163
Census Tract 7005.01,"Census Tract 7005.01, Burlington County, New Jersey",34005700501,140,0,34,5,19,,700501,5483,5483,4625,428,6,219,2,61,142,2133,1855,159,4,62,2,18,33,2133,62,2071,2133,1822,311,2228,2133,1555,578,2228,2133,95,590,242
Census Tract 7005.02,"Census Tract 7005.02, Burlington County, New Jersey",34005700502,140,0,34,5,19,,700502,2215,2215,1970,87,2,83,0,35,38,816,745,31,1,24,0,8,7,816,27,789,816,724,92,860,816,641,175,860,816,44,231,112
Census Tract 7005.03,"Census Tract 7005.03, Burlington County, New Jersey",34005700503,140,0,34,5,19,,700503,3713,3713,2976,473,8,91,2,34,129,1341,1069,198,2,28,1,9,34,1341,46,1295,1341,1040,301,1402,1341,1111,230,1402,1341,61,296,146
Census Tract 7005.04,"Census Tract 7005.04, Burlington County, New Jersey",34005700504,140,0,34,5,19,,700504,3136,3136,2813,196,0,61,1,17,48,1130,1032,71,0,14,0,5,8,1130,25,1105,1130,1013,117,1219,1130,819,311,1219,1130,89,329,89
Census Tract 7005.05,"Census Tract 7005.05, Burlington County, New Jersey",34005700505,140,0,34,5,19,,700505,6179,6179,5129,147,2,790,0,21,90,2030,1755,53,0,212,0,2,8,2030,33,1997,2030,1725,305,2153,2030,1768,262,2153,2030,123,380,132
Census Tract 7006.02,"Census Tract 7006.02, Burlington County, New Jersey",34005700602,140,0,34,5,19,,700602,6505,6505,5226,565,10,412,5,104,183,2316,1937,194,4,118,2,26,35,2316,72,2244,2316,1892,424,2389,2316,2140,176,2389,2316,73,579,277
Census Tract 7006.03,"Census Tract 7006.03, Burlington County, New Jersey",34005700603,140,0,34,5,19,,700603,5621,5621,4232,761,14,172,1,270,171,2120,1587,335,4,55,1,95,43,2120,112,2008,2120,1539,581,2296,2120,1268,852,2296,2120,176,605,352
Census Tract 7006.05,"Census Tract 7006.05, Burlington County, New Jersey",34005700605,140,0,34,5,19,,700605,4770,4770,4230,290,9,99,1,85,56,1712,1514,127,5,26,0,28,12,1712,37,1675,1712,1490,222,1757,1712,1351,361,1757,1712,45,330,150
Census Tract 7007.01,"Census Tract 7007.01, Burlington County, New Jersey",34005700701,140,0,34,5,19,,700701,3205,3205,2654,148,13,28,0,168,194,1222,1055,49,3,7,0,51,57,1222,69,1153,1222,1031,191,1259,1222,876,346,1259,1222,37,391,281
Census Tract 7007.02,"Census Tract 7007.02, Burlington County, New Jersey",34005700702,140,0,34,5,19,,700702,2451,2451,1892,186,7,31,0,216,119,886,732,64,2,10,0,57,21,886,79,807,886,694,192,961,886,511,375,961,886,75,288,317
Census Tract 7007.03,"Census Tract 7007.03, Burlington County, New Jersey",34005700703,140,0,34,5,19,,700703,2423,2423,1934,182,1,18,4,185,99,851,709,63,0,6,1,47,25,851,67,784,851,677,174,927,851,554,297,927,851,76,253,318
Census Tract 7008,"Census Tract 7008, Burlington County, New Jersey",34005700800,140,0,34,5,19,,700800,4283,4283,3546,470,20,80,5,40,122,1755,1493,197,5,25,1,10,24,1755,47,1708,1755,1464,291,1853,1755,1446,309,1853,1755,98,514,152
Census Tract 7009,"Census Tract 7009, Burlington County, New Jersey",34005700900,140,0,34,5,19,,700900,2577,2577,1589,770,4,20,0,69,125,1002,664,284,3,6,0,17,28,1002,57,945,1002,638,364,1086,1002,686,316,1086,1002,84,331,236
Census Tract 7010.01,"Census Tract 7010.01, Burlington County, New Jersey",34005701001,140,0,34,5,19,,701001,4862,4862,2822,1364,19,153,2,244,258,2288,1375,672,8,49,1,79,104,2288,188,2100,2288,1299,989,2484,2288,1205,1083,2484,2288,196,1029,554
Census Tract 7010.02,"Census Tract 7010.02, Burlington County, New Jersey",34005701002,140,0,34,5,19,,701002,4019,4019,2303,1062,11,130,0,333,180,1395,870,360,3,32,0,90,40,1395,104,1291,1395,835,560,1442,1395,1067,328,1442,1395,47,330,416
Census Tract 7011.02,"Census Tract 7011.02, Burlington County, New Jersey",34005701102,140,0,34,5,19,,701102,5516,5516,3675,1224,9,331,1,94,182,1917,1278,479,4,94,1,27,34,1917,96,1821,1917,1223,694,1988,1917,1546,371,1988,1917,71,607,384
Census Tract 7011.03,"Census Tract 7011.03, Burlington County, New Jersey",34005701103,140,0,34,5,19,,701103,6371,6371,3684,1789,6,490,1,146,255,2075,1219,627,2,129,1,42,55,2075,112,1963,2075,1166,909,2125,2075,1798,277,2125,2075,50,388,456
Census Tract 7011.04,"Census Tract 7011.04, Burlington County, New Jersey",34005701104,140,0,34,5,19,,701104,4556,4556,2591,1299,9,333,5,177,142,1708,996,524,3,81,2,60,42,1708,99,1609,1708,954,754,1785,1708,1123,585,1785,1708,77,486,317
Census Tract 7011.05,"Census Tract 7011.05, Burlington County, New Jersey",34005701105,140,0,34,5,19,,701105,6151,6151,3381,2010,11,436,2,127,184,2097,1248,646,3,109,1,40,50,2097,121,1976,2097,1191,906,2207,2097,1647,450,2207,2097,110,571,436
Census Tract 7012.01,"Census Tract 7012.01, Burlington County, New Jersey",34005701201,140,0,34,5,19,,701201,2967,2967,1906,862,2,64,0,47,86,1131,785,297,0,19,0,12,18,1131,46,1085,1131,761,370,1193,1131,925,206,1193,1131,62,334,186
Census Tract 7012.03,"Census Tract 7012.03, Burlington County, New Jersey",34005701203,140,0,34,5,19,,701203,1857,1857,1309,419,5,46,3,31,44,752,544,177,1,14,1,8,7,752,34,718,752,522,230,788,752,489,263,788,752,36,252,103
Census Tract 7012.04,"Census Tract 7012.04, Burlington County, New Jersey",34005701204,140,0,34,5,19,,701204,2818,2818,1023,1521,5,41,0,78,150,1048,484,501,2,11,0,18,32,1048,45,1003,1048,474,574,1203,1048,379,669,1203,1048,155,462,193
Census Tract 7012.05,"Census Tract 7012.05, Burlington County, New Jersey",34005701205,140,0,34,5,19,,701205,2278,2278,1607,470,6,50,1,71,73,927,683,188,2,12,0,22,20,927,46,881,927,665,262,1039,927,595,332,1039,927,112,373,163
Census Tract 7013.01,"Census Tract 7013.01, Burlington County, New Jersey",34005701301,140,0,34,5,19,,701301,4426,4426,3284,746,7,127,2,72,188,1857,1448,298,1,43,1,25,41,1857,58,1799,1857,1426,431,1998,1857,1297,560,1998,1857,141,691,232
Census Tract 7013.02,"Census Tract 7013.02, Burlington County, New Jersey",34005701302,140,0,34,5,19,,701302,2649,2649,2346,129,6,101,0,10,57,1047,957,46,3,24,0,3,14,1047,21,1026,1047,946,101,1091,1047,870,177,1091,1047,44,355,93
Census Tract 7013.03,"Census Tract 7013.03, Burlington County, New Jersey",34005701303,140,0,34,5,19,,701303,5034,5034,3867,606,10,382,5,39,125,1871,1511,208,4,108,2,10,28,1871,74,1797,1871,1458,413,1964,1871,1687,184,1964,1871,93,444,251
Census Tract 7014.01,"Census Tract 7014.01, Burlington County, New Jersey",34005701401,140,0,34,5,19,,701401,6495,6495,4848,840,11,579,5,45,167,2232,1766,268,6,155,1,14,22,2232,97,2135,2232,1702,530,2305,2232,2077,155,2305,2232,73,418,388
Census Tract 7014.02,"Census Tract 7014.02, Burlington County, New Jersey",34005701402,140,0,34,5,19,,701402,2049,2049,1905,50,3,78,0,8,5,1169,1118,23,1,22,0,3,2,1169,16,1153,1169,1106,63,1224,1169,1127,42,1224,1169,55,531,40
Census Tract 7015.02,"Census Tract 7015.02, Burlington County, New Jersey",34005701502,140,0,34,5,19,,701502,3724,3724,3139,212,13,234,0,64,62,1549,1336,102,4,69,0,23,15,1549,79,1470,1549,1289,260,1664,1549,1032,517,1664,1549,115,515,227
Census Tract 7017,"Census Tract 7017, Burlington County, New Jersey",34005701700,140,0,34,5,19,,701700,3924,3924,3277,397,8,107,1,46,88,1859,1610,171,3,34,1,19,21,1859,75,1784,1859,1560,299,2014,1859,981,878,2014,1859,155,937,228
Census Tract 7021.01,"Census Tract 7021.01, Burlington County, New Jersey",34005702101,140,0,34,5,19,,702101,2887,2887,1978,468,9,69,25,126,212,892,640,149,7,17,5,44,30,892,119,773,892,578,314,1391,892,4,888,1391,892,499,123,419
Census Tract 7022.03,"Census Tract 7022.03, Burlington County, New Jersey",34005702203,140,0,34,5,19,,702203,3309,3309,1776,1073,12,108,1,163,176,1357,762,444,7,38,0,62,44,1357,171,1186,1357,681,676,1465,1357,852,505,1465,1357,108,517,477
Census Tract 7022.04,"Census Tract 7022.04, Burlington County, New Jersey",34005702204,140,0,34,5,19,,702204,2289,2289,1401,604,4,26,1,134,119,638,430,146,3,7,1,34,17,638,85,553,638,387,251,700,638,370,268,700,638,62,154,366
Census Tract 7022.06,"Census Tract 7022.06, Burlington County, New Jersey",34005702206,140,0,34,5,19,,702206,1875,1875,1498,226,6,23,1,40,81,714,580,86,3,7,0,13,25,714,49,665,714,546,168,772,714,562,152,772,714,58,248,164
Census Tract 7022.07,"Census Tract 7022.07, Burlington County, New Jersey",34005702207,140,0,34,5,19,,702207,3682,3682,2524,694,11,117,6,95,235,1481,1069,272,5,51,3,38,43,1481,118,1363,1481,1005,476,1595,1481,1091,390,1595,1481,114,582,380
Census Tract 7022.08,"Census Tract 7022.08, Burlington County, New Jersey",34005702208,140,0,34,5,19,,702208,7064,7064,5256,1107,15,187,8,159,332,2413,1875,365,8,49,5,41,70,2413,175,2238,2413,1770,643,2574,2413,2203,210,2574,2413,161,518,721
Census Tract 7022.09,"Census Tract 7022.09, Burlington County, New Jersey",34005702209,140,0,34,5,19,,702209,3065,3065,2255,481,14,94,1,38,182,1065,808,167,7,26,1,18,38,1065,91,974,1065,756,309,1139,1065,906,159,1139,1065,74,269,302
Census Tract 7022.10,"Census Tract 7022.10, Burlington County, New Jersey",34005702210,140,0,34,5,19,,702210,4863,4863,2942,1192,32,210,2,169,316,1756,1124,423,13,87,1,42,66,1756,184,1572,1756,1026,730,1859,1756,1316,440,1859,1756,103,497,671
Census Tract 7023,"Census Tract 7023, Burlington County, New Jersey",34005702300,140,0,34,5,19,,702300,1409,1409,1048,215,3,46,0,44,53,581,448,85,1,17,0,11,19,581,52,529,581,420,161,642,581,387,194,642,581,61,177,179
Census Tract 7024,"Census Tract 7024, Burlington County, New Jersey",34005702400,140,0,34,5,19,,702400,3414,3414,3093,130,7,87,0,41,56,1162,1075,44,1,20,0,12,10,1162,30,1132,1162,1056,106,1217,1162,1062,100,1217,1162,55,221,127
Census Tract 7025,"Census Tract 7025, Burlington County, New Jersey",34005702500,140,0,34,5,19,,702500,6069,6069,4437,1030,21,272,4,100,205,2281,1709,395,9,83,2,36,47,2281,149,2132,2281,1618,663,2380,2281,1556,725,2380,2281,99,642,503
Census Tract 7026.01,"Census Tract 7026.01, Burlington County, New Jersey",34005702601,140,0,34,5,19,,702601,4058,4058,2994,710,12,71,5,108,158,1566,1221,240,5,27,2,37,34,1566,116,1450,1566,1159,407,1655,1566,1258,308,1655,1566,89,484,379
Census Tract 7026.03,"Census Tract 7026.03, Burlington County, New Jersey",34005702603,140,0,34,5,19,,702603,2316,2316,1597,455,6,27,1,87,143,852,624,160,3,10,0,27,28,852,70,782,852,594,258,968,852,402,450,968,852,116,335,262
Census Tract 7027,"Census Tract 7027, Burlington County, New Jersey",34005702700,140,0,34,5,19,,702700,8813,8813,5376,2243,17,608,3,199,367,3195,2095,791,7,167,2,67,66,3195,224,2971,3195,1977,1218,3291,3195,2945,250,3291,3195,96,766,779
Census Tract 7028.01,"Census Tract 7028.01, Burlington County, New Jersey",34005702801,140,0,34,5,19,,702801,2077,2077,336,1554,8,31,1,66,81,713,135,528,2,8,0,15,25,713,42,671,713,120,593,746,713,667,46,746,713,33,150,178
Census Tract 7028.02,"Census Tract 7028.02, Burlington County, New Jersey",34005702802,140,0,34,5,19,,702802,3390,3390,593,2482,22,67,4,88,134,1128,242,808,8,19,2,25,24,1128,75,1053,1128,217,911,1177,1128,1042,86,1177,1128,49,248,265
Census Tract 7028.03,"Census Tract 7028.03, Burlington County, New Jersey",34005702803,140,0,34,5,19,,702803,3936,3936,708,2892,15,38,0,112,171,1343,300,959,5,11,0,26,42,1343,83,1260,1343,265,1078,1406,1343,1235,108,1406,1343,63,282,345
Census Tract 7028.04,"Census Tract 7028.04, Burlington County, New Jersey",34005702804,140,0,34,5,19,,702804,2647,2647,511,1918,7,37,0,73,101,971,237,678,3,10,0,18,25,971,57,914,971,216,755,1004,971,906,65,1004,971,33,246,222
Census Tract 7028.05,"Census Tract 7028.05, Burlington County, New Jersey",34005702805,140,0,34,5,19,,702805,3812,3812,647,2747,17,116,1,130,154,1254,276,871,5,28,1,40,33,1254,84,1170,1254,248,1006,1314,1254,1146,108,1314,1254,60,250,319
Census Tract 7028.06,"Census Tract 7028.06, Burlington County, New Jersey",34005702806,140,0,34,5,19,,702806,3792,3792,649,2718,21,62,1,138,203,1184,250,835,5,21,0,33,40,1184,93,1091,1184,218,966,1269,1184,1046,138,1269,1184,85,230,396
Census Tract 7028.07,"Census Tract 7028.07, Burlington County, New Jersey",34005702807,140,0,34,5,19,,702807,3184,3184,659,2117,5,106,1,132,164,1223,287,814,2,32,0,45,43,1223,101,1122,1223,254,969,1292,1223,766,457,1292,1223,69,427,345
Census Tract 7028.08,"Census Tract 7028.08, Burlington County, New Jersey",34005702808,140,0,34,5,19,,702808,3356,3356,537,2403,9,108,1,140,158,1082,226,756,5,27,1,29,38,1082,72,1010,1082,204,878,1154,1082,975,107,1154,1082,72,215,293
Census Tract 7028.09,"Census Tract 7028.09, Burlington County, New Jersey",34005702809,140,0,34,5,19,,702809,1402,1402,214,1085,3,14,0,31,55,615,123,454,1,5,0,13,19,615,28,587,615,116,499,653,615,478,137,653,615,38,256,72
Census Tract 7028.10,"Census Tract 7028.10, Burlington County, New Jersey",34005702810,140,0,34,5,19,,702810,1405,1405,245,1047,2,16,0,31,64,459,106,328,1,5,0,9,10,459,27,432,459,102,357,486,459,431,28,486,459,27,103,116
Census Tract 7028.11,"Census Tract 7028.11, Burlington County, New Jersey",34005702811,140,0,34,5,19,,702811,2628,2628,376,2044,8,40,1,47,112,912,162,692,5,8,0,12,33,912,42,870,912,146,766,941,912,868,44,941,912,29,190,186
Census Tract 7029.05,"Census Tract 7029.05, Burlington County, New Jersey",34005702905,140,0,34,5,19,,702905,4120,4120,3431,317,9,244,1,32,86,1714,1465,127,2,98,1,8,13,1714,55,1659,1714,1424,290,1834,1714,1145,569,1834,1714,120,645,177
Census Tract 7029.06,"Census Tract 7029.06, Burlington County, New Jersey",34005702906,140,0,34,5,19,,702906,2140,2140,1803,153,1,131,2,19,31,645,569,29,1,36,0,4,6,645,18,627,645,556,89,671,645,614,31,671,645,26,84,79
Census Tract 7029.07,"Census Tract 7029.07, Burlington County, New Jersey",34005702907,140,0,34,5,19,,702907,2935,2935,2738,70,5,77,0,7,38,1234,1166,27,2,28,0,1,10,1234,16,1218,1234,1153,81,1267,1234,1191,43,1267,1234,33,367,66
Census Tract 7029.08,"Census Tract 7029.08, Burlington County, New Jersey",34005702908,140,0,34,5,19,,702908,4423,4423,4044,140,3,183,4,15,34,1983,1861,48,2,60,1,4,7,1983,22,1961,1983,1841,142,2076,1983,1901,82,2076,1983,93,744,104
Census Tract 7029.09,"Census Tract 7029.09, Burlington County, New Jersey",34005702909,140,0,34,5,19,,702909,6191,6191,4612,689,5,666,2,58,159,2507,1991,255,2,208,1,17,33,2507,79,2428,2507,1940,567,2565,2507,2286,221,2565,2507,58,800,285
Census Tract 7029.10,"Census Tract 7029.10, Burlington County, New Jersey",34005702910,140,0,34,5,19,,702910,5585,5585,4437,508,7,403,0,88,142,2104,1738,199,3,110,0,25,29,2104,78,2026,2104,1693,411,2167,2104,1779,325,2167,2104,63,607,269
Census Tract 7029.13,"Census Tract 7029.13, Burlington County, New Jersey",34005702913,140,0,34,5,19,,702913,4401,4401,3027,705,4,464,1,56,144,2437,1832,343,3,179,0,24,56,2437,114,2323,2437,1765,672,2571,2437,1622,815,2571,2437,134,1388,265
Census Tract 7029.14,"Census Tract 7029.14, Burlington County, New Jersey",34005702914,140,0,34,5,19,,702914,4205,4205,3443,363,3,244,0,46,106,1506,1284,120,1,71,0,13,17,1506,58,1448,1506,1246,260,1558,1506,1395,111,1558,1506,52,288,214
Census Tract 7029.15,"Census Tract 7029.15, Burlington County, New Jersey",34005702915,140,0,34,5,19,,702915,4262,4262,2939,755,25,303,6,59,175,1731,1255,298,9,102,5,20,42,1731,87,1644,1731,1206,525,1811,1731,1273,458,1811,1731,80,594,294
Census Tract 7029.17,"Census Tract 7029.17, Burlington County, New Jersey",34005702917,140,0,34,5,19,,702917,1911,1911,1482,197,0,180,0,14,38,818,658,87,0,57,0,4,12,818,19,799,818,647,171,834,818,736,82,834,818,16,298,67
Census Tract 7029.18,"Census Tract 7029.18, Burlington County, New Jersey",34005702918,140,0,34,5,19,,702918,1691,1691,1293,164,5,145,1,24,59,859,704,82,1,48,1,9,14,859,32,827,859,683,176,895,859,720,139,895,859,36,434,87
Census Tract 7030,"Census Tract 7030, Burlington County, New Jersey",34005703000,140,0,34,5,19,,703000,6110,6110,5180,458,6,249,0,87,130,2239,1960,154,5,71,0,24,25,2239,78,2161,2239,1911,328,2305,2239,2030,209,2305,2239,66,513,310
Census Tract 7031.02,"Census Tract 7031.02, Burlington County, New Jersey",34005703102,140,0,34,5,19,,703102,2673,2673,2246,251,0,126,2,8,40,884,761,74,0,34,0,5,10,884,21,863,884,745,139,918,884,794,90,918,884,34,135,78
Census Tract 7031.03,"Census Tract 7031.03, Burlington County, New Jersey",34005703103,140,0,34,5,19,,703103,4768,4768,2675,1423,20,279,0,144,227,1955,1177,562,5,88,0,59,64,1955,149,1806,1955,1122,833,2043,1955,972,983,2043,1955,88,770,382
Census Tract 7031.04,"Census Tract 7031.04, Burlington County, New Jersey",34005703104,140,0,34,5,19,,703104,5118,5118,3995,704,10,186,3,43,177,1701,1359,248,4,48,1,13,28,1701,72,1629,1701,1316,385,1758,1701,1478,223,1758,1701,57,398,276
Census Tract 7032.01,"Census Tract 7032.01, Burlington County, New Jersey",34005703201,140,0,34,5,19,,703201,3687,3687,3418,83,7,72,1,29,77,1411,1332,29,5,20,1,9,15,1411,29,1382,1411,1316,95,1493,1411,1262,149,1493,1411,82,368,96
Census Tract 7032.02,"Census Tract 7032.02, Burlington County, New Jersey",34005703202,140,0,34,5,19,,703202,2665,2665,2517,42,2,38,0,19,47,930,894,12,0,10,0,7,7,930,22,908,930,879,51,975,930,839,91,975,930,45,168,90
Census Tract 7032.03,"Census Tract 7032.03, Burlington County, New Jersey",34005703203,140,0,34,5,19,,703203,4112,4112,3953,106,3,29,0,3,18,2405,2321,58,2,13,0,2,9,2405,23,2382,2405,2302,103,2556,2405,2260,145,2556,2405,151,1170,39
Census Tract 7036,"Census Tract 7036, Burlington County, New Jersey",34005703600,140,0,34,5,19,,703600,6946,6946,6654,96,5,48,4,65,74,2374,2300,30,3,15,2,14,10,2374,34,2340,2374,2280,94,2444,2374,2219,155,2444,2374,70,397,192
Census Tract 7037,"Census Tract 7037, Burlington County, New Jersey",34005703700,140,0,34,5,19,,703700,6493,6493,6289,60,13,38,1,17,75,2169,2122,15,3,10,0,4,15,2169,29,2140,2169,2101,68,2228,2169,2078,91,2228,2169,59,343,149
Census Tract 7038.01,"Census Tract 7038.01, Burlington County, New Jersey",34005703801,140,0,34,5,19,,703801,6998,6998,6592,119,24,131,0,30,102,2486,2381,41,6,35,0,7,16,2486,39,2447,2486,2351,135,2637,2486,2083,403,2637,2486,151,534,184
Census Tract 7038.02,"Census Tract 7038.02, Burlington County, New Jersey",34005703802,140,0,34,5,19,,703802,3894,3894,3563,116,7,78,0,66,64,1633,1520,54,2,25,0,17,15,1633,40,1593,1633,1501,132,1755,1633,1018,615,1755,1633,122,631,155
Census Tract 7038.03,"Census Tract 7038.03, Burlington County, New Jersey",34005703803,140,0,34,5,19,,703803,4897,4897,4712,27,1,87,0,21,49,1758,1709,9,1,26,0,8,5,1758,26,1732,1758,1693,65,1796,1758,1684,74,1796,1758,38,352,128
Census Tract 7038.04,"Census Tract 7038.04, Burlington County, New Jersey",34005703804,140,0,34,5,19,,703804,7244,7244,6859,91,4,171,6,13,100,2400,2308,27,1,45,1,2,16,2400,26,2374,2400,2287,113,2464,2400,2306,94,2464,2400,64,305,133
Census Tract 7039,"Census Tract 7039, Burlington County, New Jersey",34005703900,140,0,34,5,19,,703900,4146,4146,4035,19,7,40,0,16,29,1483,1459,5,2,7,0,5,5,1483,18,1465,1483,1448,35,1543,1483,1398,85,1543,1483,60,297,70
Census Tract 7040.04,"Census Tract 7040.04, Burlington County, New Jersey",34005704004,140,0,34,5,19,,704004,3701,3701,3025,206,5,321,1,67,76,1652,1387,102,2,113,0,21,27,1652,76,1576,1652,1344,308,1787,1652,878,774,1787,1652,135,720,230
Census Tract 7040.05,"Census Tract 7040.05, Burlington County, New Jersey",34005704005,140,0,34,5,19,,704005,3757,3757,3242,170,3,247,0,40,55,1520,1333,71,0,87,0,15,14,1520,36,1484,1520,1315,205,1575,1520,1158,362,1575,1520,55,520,122
Census Tract 7040.06,"Census Tract 7040.06, Burlington County, New Jersey",34005704006,140,0,34,5,19,,704006,2228,2228,1684,177,3,270,0,38,56,906,735,61,1,89,0,9,11,906,27,879,906,722,184,948,906,780,126,948,906,42,302,110
Census Tract 7040.07,"Census Tract 7040.07, Burlington County, New Jersey",34005704007,140,0,34,5,19,,704007,3722,3722,3479,75,9,89,0,31,39,1403,1334,19,3,27,0,9,11,1403,29,1374,1403,1318,85,1463,1403,982,421,1463,1403,60,508,116
Census Tract 7040.08,"Census Tract 7040.08, Burlington County, New Jersey",34005704008,140,0,34,5,19,,704008,5283,5283,4837,99,7,249,1,16,74,1965,1824,40,1,73,0,6,21,1965,28,1937,1965,1805,160,2058,1965,1414,551,2058,1965,93,457,118
Census Tract 7040.09,"Census Tract 7040.09, Burlington County, New Jersey",34005704009,140,0,34,5,19,,704009,4569,4569,3858,291,7,253,0,47,113,1913,1662,120,3,84,0,18,26,1913,60,1853,1913,1629,284,2003,1913,1054,859,2003,1913,90,732,177
Census Tract 7040.11,"Census Tract 7040.11, Burlington County, New Jersey",34005704011,140,0,34,5,19,,704011,3137,3137,2942,75,1,83,0,8,28,1033,981,25,0,19,0,1,7,1033,14,1019,1033,968,65,1063,1033,998,35,1063,1033,30,156,54
Census Tract 7040.12,"Census Tract 7040.12, Burlington County, New Jersey",34005704012,140,0,34,5,19,,704012,5888,5888,5360,235,9,140,2,34,108,2583,2398,93,2,58,0,12,20,2583,62,2521,2583,2353,230,2658,2583,2260,323,2658,2583,75,1020,209
Census Tract 7040.13,"Census Tract 7040.13, Burlington County, New Jersey",34005704013,140,0,34,5,19,,704013,5398,5398,4665,212,0,351,4,39,127,1746,1538,73,0,104,1,9,21,1746,35,1711,1746,1514,232,1776,1746,1694,52,1776,1746,30,234,180
Census Tract 7040.14,"Census Tract 7040.14, Burlington County, New Jersey",34005704014,140,0,34,5,19,,704014,7855,7855,6517,370,10,801,1,37,119,2899,2473,142,4,242,1,15,22,2899,69,2830,2899,2428,471,2972,2899,2505,394,2972,2899,73,659,226
Census Tract 7042,"Census Tract 7042, Burlington County, New Jersey",34005704200,140,0,34,5,19,,704200,8183,8183,5754,1072,17,978,7,118,237,2830,2178,301,2,265,1,36,47,2830,115,2715,2830,2117,713,2917,2830,2433,397,2917,2830,87,627,472
