Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001
"42101037700","14000US42101037700","Census Tract 377, Philadelphia County, Pennsylvania","Census Tract 377, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014376",,,,,"42","101",,,,"037700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16862
"42101037800","14000US42101037800","Census Tract 378, Philadelphia County, Pennsylvania","Census Tract 378, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014377",,,,,"42","101",,,,"037800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45441
"42101037900","14000US42101037900","Census Tract 379, Philadelphia County, Pennsylvania","Census Tract 379, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014378",,,,,"42","101",,,,"037900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31169
"42101038000","14000US42101038000","Census Tract 380, Philadelphia County, Pennsylvania","Census Tract 380, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014379",,,,,"42","101",,,,"038000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42744
"42101038100","14000US42101038100","Census Tract 381, Philadelphia County, Pennsylvania","Census Tract 381, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014380",,,,,"42","101",,,,"038100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25074
"42101038200","14000US42101038200","Census Tract 382, Philadelphia County, Pennsylvania","Census Tract 382, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014381",,,,,"42","101",,,,"038200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26715
"42101038300","14000US42101038300","Census Tract 383, Philadelphia County, Pennsylvania","Census Tract 383, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014382",,,,,"42","101",,,,"038300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20921
"42101038400","14000US42101038400","Census Tract 384, Philadelphia County, Pennsylvania","Census Tract 384, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014383",,,,,"42","101",,,,"038400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76000
"42101038500","14000US42101038500","Census Tract 385, Philadelphia County, Pennsylvania","Census Tract 385, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014384",,,,,"42","101",,,,"038500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89864
"42101038600","14000US42101038600","Census Tract 386, Philadelphia County, Pennsylvania","Census Tract 386, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014385",,,,,"42","101",,,,"038600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105987
"42101038700","14000US42101038700","Census Tract 387, Philadelphia County, Pennsylvania","Census Tract 387, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014386",,,,,"42","101",,,,"038700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101964
"42101038800","14000US42101038800","Census Tract 388, Philadelphia County, Pennsylvania","Census Tract 388, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014387",,,,,"42","101",,,,"038800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73462
"42101038900","14000US42101038900","Census Tract 389, Philadelphia County, Pennsylvania","Census Tract 389, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014388",,,,,"42","101",,,,"038900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43306
"42101039000","14000US42101039000","Census Tract 390, Philadelphia County, Pennsylvania","Census Tract 390, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014389",,,,,"42","101",,,,"039000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31585
"42101980000","14000US42101980000","Census Tract 9800, Philadelphia County, Pennsylvania","Census Tract 9800, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014390",,,,,"42","101",,,,"980000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19250
"42101980100","14000US42101980100","Census Tract 9801, Philadelphia County, Pennsylvania","Census Tract 9801, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014391",,,,,"42","101",,,,"980100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48667
"42101980200","14000US42101980200","Census Tract 9802, Philadelphia County, Pennsylvania","Census Tract 9802, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014392",,,,,"42","101",,,,"980200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148333
"42101980300","14000US42101980300","Census Tract 9803, Philadelphia County, Pennsylvania","Census Tract 9803, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014393",,,,,"42","101",,,,"980300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42101980400","14000US42101980400","Census Tract 9804, Philadelphia County, Pennsylvania","Census Tract 9804, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014394",,,,,"42","101",,,,"980400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42101980500","14000US42101980500","Census Tract 9805, Philadelphia County, Pennsylvania","Census Tract 9805, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014395",,,,,"42","101",,,,"980500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42101980600","14000US42101980600","Census Tract 9806, Philadelphia County, Pennsylvania","Census Tract 9806, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014396",,,,,"42","101",,,,"980600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42101980700","14000US42101980700","Census Tract 9807, Philadelphia County, Pennsylvania","Census Tract 9807, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014397",,,,,"42","101",,,,"980700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
