g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2000,5,34005701301,34,34,1841.0,39.0,274.0,24.0,26.0,1817.0,1.0,637.0,1.0,1817.0,,,,1476.0,,,,4598.0,125.0,660.0,94.0,3.0,1.0,27.0,3688.0,1952.0,1841.0,1225.0,616.0,111.0
2000,5,34005701302,34,34,1013.0,5.0,24.0,15.0,5.0,998.0,0.0,313.0,0.0,998.0,,,,965.0,,,,2612.0,22.0,70.0,16.0,2.0,0.0,17.0,2485.0,1082.0,1013.0,844.0,169.0,69.0
2000,5,34005701303,34,34,1295.0313532801,34.0004254898063,106.000691420935,23.0005318622579,13.0002659311289,1272.03082141784,3.0000531862257898,307.004627201644,0.0,1272.03082141784,,,,1118.02946516909,,,,3536.094,106.0018,317.0021,56.00088,14.000210000000001,5.3186230000000005e-05,26.00027,3017.0890000000004,1357.03185854925,1295.0313532801,1136.0288535274901,159.002499752612,62.000505269145
2000,5,34005701401,34,34,1179.13852178804,16.000068652734498,26.0026678880627,20.001056573146897,10.002340366733801,1159.13746521489,1.99984678872035,174.02524203922798,0.0,1159.13746521489,,,,1108.13282943891,,,,3537.395,67.00004,80.00811,33.00653,7.999905,2.000623,10.00105,3337.3790000000004,1198.14327912715,1179.13852178804,1085.12863739096,94.0098843970828,19.0047573391075
2000,5,34005701402,34,34,898.0,3.0,9.0,3.0,1.0,895.0,1.0,342.0,0.0,895.0,,,,881.0,,,,1553.0,9.0,17.0,5.0,1.0,0.0,1.0,1520.0,924.0,898.0,885.0,13.0,26.0
2000,5,34005701502,34,34,1370.0,38.0,74.0,44.0,18.0,1326.0,4.0,505.0,0.0,1326.0,,,,1196.0,,,,3272.0,115.0,147.0,42.0,13.0,0.0,29.0,2926.0,1411.0,1370.0,817.0,553.0,41.0
2000,5,34005701700,34,34,1757.0,24.0,204.0,36.0,35.0,1721.0,1.0,767.0,1.0,1721.0,,,,1463.0,,,,3969.0,76.0,519.0,114.0,2.0,1.0,32.0,3225.0,1884.0,1757.0,981.0,776.0,127.0
2000,5,34005702101,34,34,794.113653556951,14.554202127046098,163.734773929268,58.2168085081843,24.560216089390202,735.896845048767,7.27710106352303,13.6445644941057,1.81927526588076,735.896845048767,,,,534.866928168943,,,,2810.78,77.3192,539.4151,157.3673,22.74094,3.638551,92.78304,1917.516,863.2461136604201,794.113653556951,10.0060139623442,784.1076395946069,69.1324601034688
2000,5,34005702203,34,34,1422.0,47.0,512.0,135.0,34.0,1287.0,6.0,522.0,0.0,1287.0,,,,713.0,,,,3571.0,124.0,1396.0,129.0,12.0,2.0,138.0,1770.0,1458.0,1422.0,899.0,523.0,36.0
2000,5,34005702204,34,34,641.943206013632,9.2554557013582,158.00489831352502,47.065154113790506,14.2495203983918,594.878051899841,3.00836906792518,161.419168591121,0.0,594.878051899841,,,,414.447383053002,,,,2131.5429999999997,28.744020000000003,597.1354,45.32269,12.40681,0.1723485,70.90093,1376.861,683.678200381138,641.943206013632,351.35261026365896,290.590595749974,41.734994367505706
2000,5,34005702206,34,34,706.992133591525,7.9999109883058,104.998831721514,34.9996105738379,11.9998664824587,671.992523017687,6.99992211476757,231.997418660868,0.0,671.992523017687,,,,542.9939583312561,,,,1879.979,35.9996,263.9971,66.99925,13.999839999999999,0.0,50.99943,1447.984,766.9914660038189,706.992133591525,563.993724675559,142.998408915966,59.9993324122935
2000,5,34005702207,34,34,1501.9428688685,67.9507008860169,305.91789593793,88.98781380518801,33.012978498352,1412.9550550633098,4.00037935321815,535.668772891132,1.9990747142352399,1412.9550550633098,,,,1004.0840680340199,,,,3788.778,170.9268,784.9364,164.0141,11.00309,3.9981489999999997,107.9761,2545.924,1644.8573849218399,1501.9428688685,1154.23840738468,347.704461483823,142.91451605334
2000,5,34005702208,34,34,2358.25365894031,43.9673834487284,385.714251294286,127.90524597026199,70.9473586318465,2230.34841297005,6.994874727487861,423.687418641461,1.99851338350155,2230.34841297005,,,,1740.7111986986,,,,7187.674,178.8673,1187.12,284.7889,21.9838,3.9970269999999997,142.8943,5368.023,2475.16735946286,2358.25365894031,2191.3762003339,166.877458606414,116.913700522547
2000,5,34005702209,34,34,1047.99206250775,37.829591963289104,232.97035842738399,86.8956963909215,38.2041423787672,961.096366116828,6.36735706312787,251.69787920128996,1.8727520773905502,961.096366116828,,,,656.212327917649,,,,3020.0,115.7361,681.3072,164.0531,16.480220000000003,2.6218529999999998,101.1286,1938.6729999999998,1121.0293935259801,1047.99206250775,821.014510728017,226.977551779735,73.0373310182315
2000,5,34005702210,34,34,1745.76058454675,63.0170904357475,388.085448030049,144.75212852567802,63.6410220242203,1601.0084560210698,10.6068370040367,419.28202745368696,3.11965794236374,1601.0084560210698,,,,1093.12814300425,,,,5030.76,192.7949,1134.932,273.282,27.452990000000003,4.367521,168.4615,3229.47,1867.42724429893,1745.76058454675,1367.65804193226,378.102542614485,121.66665975218599
2000,5,34005702300,34,34,474.289930467223,14.061479895230901,60.0519893183955,28.3142305756246,9.09563539258141,445.97569989159797,3.0204932984103,154.10663811415702,0.0,445.97569989159797,,,,363.773426384861,,,,1224.243,29.184440000000002,157.9894,37.29374,8.081973,0.0,33.47818,958.2152,517.549512247087,474.289930467223,234.411378112946,239.87855235427799,43.259581779863794
2000,5,34005702400,34,34,1095.26509140952,20.944414690472602,28.9422389301343,12.978004261935801,9.97949719385414,1082.28708714758,2.99272981546099,190.589367576795,0.0,1082.28708714758,,,,1019.4307340656801,,,,3218.775,84.7685,103.7619,53.86914,9.973359,0.0,6.999766,2959.402,1135.17874724547,1095.26509140952,997.429766649554,97.8353247599652,39.9136558359511
2000,5,34005702500,34,34,2225.47997877197,81.9808437822559,303.9289818269,85.97990933260981,41.990188278716396,2139.5000694393602,2.99929916276546,586.862869514441,0.0,2139.5000694393602,,,,1720.59795303978,,,,6200.5509999999995,335.9215,729.8295,179.9579,13.99673,0.0,88.97921,4851.866,2311.45988810458,2225.47997877197,1567.63369573875,657.846283033224,85.97990933260981
2000,5,34005702601,34,34,1729.3716735986402,24.0130982148617,224.054581269868,69.0149078669465,25.0069143124111,1660.35676573169,2.00058108749891,534.096147382239,0.0,1660.35676573169,,,,1384.28374078096,,,,4471.039000000001,81.05327,628.1342,122.0299,12.002410000000001,1.000052,143.0154,3483.803,1805.3853082281798,1729.3716735986402,1301.27177366762,428.099899931015,76.0136346295482
2000,5,34005702603,34,34,878.0,2.0,116.0,52.0,20.0,826.0,9.0,320.0,1.0,826.0,,,,696.0,,,,2708.0,11.0,561.0,96.0,17.0,4.0,46.0,1973.0,992.0,878.0,414.0,464.0,114.0
2000,5,34005702700,34,34,2523.8970387186,58.973869315482,563.7368970104,128.940310562064,41.9810136071626,2394.95672815654,7.99646788220834,558.751799227344,1.43536627110641e-07,2394.95672815654,,,,1744.2581295542902,,,,7213.854,218.9036,1534.286,197.91099999999997,19.99136,2.998589,131.9384,5107.826,2579.87379470468,2523.8970387186,2348.97174832246,174.925290396141,55.9767559860814
2000,5,34005702801,34,34,748.883544270856,6.017767196290831,492.58002593132204,27.994601263404302,21.985084699019104,720.888943007452,0.9996762255675229,105.0865545841,0.000458368439202089,720.888943007452,,,,200.31156560208998,,,,2299.544,25.061120000000003,1542.675,87.9353,3.996871,0.0018334739999999999,67.94773,571.9262,770.8942976024701,748.883544270856,704.7611965510021,44.1223477198532,22.0107533316144
2000,5,34005702802,34,34,1136.0,15.0,763.0,62.0,30.0,1074.0,7.0,174.0,0.0,1074.0,,,,280.0,,,,3583.0,71.0,2455.0,128.0,26.0,0.0,86.0,817.0,1170.0,1136.0,1065.0,71.0,34.0
