g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1960,3,340050BJ000100,34,34,,,,,,,,380,,,177,103,74,,1993,1687,306,7036,,682,,,,9,6345,2131,2073,1715,358,30
1960,3,340050BJ000200,34,34,,,,,,,,233,,,27,19,8,,1004,779,225,3324,,101,,,,5,3218,1041,1003,753,250,24
1960,3,340050BJ000300,34,34,,,,,,,,260,,,217,153,64,,2233,2037,196,8302,,775,,,,28,7499,2408,2234,2037,197,86
1960,3,340050BJ000400,34,34,,,,,,,,406,,,18,15,3,,3640,3237,403,12947,,2,,,,22,12923,3698,3632,3363,269,29
1960,3,340050BJ000500,34,34,,,,,,,,608,,,247,174,73,,3508,2973,535,12497,,878,,,,25,11594,3796,3613,2960,653,74
1960,3,340050BJ000600,34,34,,,,,,,,148,,,23,15,8,,1412,1272,140,5327,,50,,,,0,5277,1480,1435,1272,163,24
1960,3,340050BJ000700,34,34,,,,,,,,559,,,58,33,25,,2533,1999,534,8474,,179,,,,4,8291,2627,2553,1921,632,50
1960,3,340050BJ000800,34,34,,,,,,,,148,,,0,0,0,,1149,1001,148,4011,,4,,,,0,4007,1189,1144,960,184,15
1960,3,340050BJ000900,34,34,,,,,,,,266,,,143,86,57,,1002,793,209,3400,,541,,,,0,2859,1036,1003,681,322,16
1960,3,340050BJ001000,34,34,,,,,,,,84,,,13,3,10,,776,702,74,2866,,27,,,,1,2838,886,788,666,122,28
1960,3,340050BJ001100,34,34,,,,,,,,260,,,4,4,0,,1761,1501,260,6291,,41,,,,5,6245,1854,1671,1439,232,101
1960,3,340050BJ001200,34,34,,,,,,,,972,,,691,497,194,,3559,2781,778,12687,,2739,,,,17,9931,3883,3662,2655,1007,92
1960,3,340050BJ001300,34,34,,,,,,,,386,,,117,89,28,,2374,2016,358,8127,,509,,,,2,7616,2511,2422,1987,435,53
1960,3,340050BJ001400,34,34,,,,,,,,120,,,15,11,4,,597,481,116,2084,,44,,,,2,2038,617,579,410,169,18
1960,3,340050BJ002000,34,34,,,,,,,,27296,,,2204,96,2108,,25983,795,25188,28528,,2346,,,,272,25910,855,822,73,749,28
1960,3,340050BJ002100,34,34,,,,,,,,136,,,208,200,8,,1373,1245,128,4846,,658,,,,244,3944,1435,1341,65,1276,83
1960,3,340050BJ002400,34,34,,,,,,,,87,,,7,7,0,,535,448,87,1956,,21,,,,5,1930,564,523,365,158,10
1960,4,340070CJ000100,34,34,,,,,,,,171,,,53,47,6,,924,759,165,3570,,309,,,,17,3244,1077,1017,853,164,47
1960,4,340070CJ000200,34,34,,,,,,,,306,,,4,4,0,,1444,1138,306,5359,,12,,,,13,5334,1605,1555,1042,513,36
1960,4,340070CJ000300,34,34,,,,,,,,144,,,0,0,0,,1223,1079,144,4353,,4,,,,2,4347,1259,1235,1054,181,8
1960,4,340070CJ000400,34,34,,,,,,,,444,,,140,95,45,,1276,877,399,4276,,478,,,,2,3796,1443,1421,648,773,7
1960,4,340070CJ000500,34,34,,,,,,,,545,,,29,18,11,,3484,2950,534,11761,,139,,,,24,11598,3824,3702,2211,1491,78
1960,4,340070CJ000600,34,34,,,,,,,,387,,,0,0,0,,2060,1673,387,6582,,0,,,,0,6582,2183,2131,1622,509,43
1960,4,340070CJ000700,34,34,,,,,,,,1463,,,321,235,86,,2219,842,1377,5304,,1315,,,,10,3979,1730,1603,839,764,101
1960,4,340070CJ000800,34,34,,,,,,,,315,,,103,91,12,,1154,851,303,4469,,561,,,,8,3900,1318,1211,700,511,65
1960,4,340070CJ000900,34,34,,,,,,,,438,,,107,76,31,,1414,1007,407,5041,,489,,,,70,4482,1562,1445,1038,407,73
1960,4,340070CJ001000,34,34,,,,,,,,788,,,716,449,267,,1249,728,521,4172,,2728,,,,55,1389,1391,1275,665,610,72
1960,4,340070CJ0011A0,34,34,,,,,,,,432,,,234,91,143,,484,195,289,1371,,599,,,,28,744,433,404,166,238,14
1960,4,340070CJ0011B0,34,34,,,,,,,,950,,,393,212,181,,1288,519,769,3404,,1426,,,,13,1960,1469,1272,285,987,111
1960,4,340070CJ0012A0,34,34,,,,,,,,201,,,172,101,71,,463,333,130,1695,,664,,,,6,1025,501,477,318,159,17
1960,4,340070CJ0012B0,34,34,,,,,,,,187,,,250,172,78,,480,371,109,2234,,1095,,,,2,1137,575,535,368,167,28
1960,4,340070CJ001300,34,34,,,,,,,,495,,,491,278,213,,649,367,282,2593,,2103,,,,19,471,779,680,308,372,19
1960,4,340070CJ001400,34,34,,,,,,,,485,,,265,156,109,,1209,833,376,4074,,1136,,,,11,2927,1226,1165,699,466,41
1960,4,340070CJ001500,34,34,,,,,,,,614,,,603,345,258,,971,615,356,3479,,2297,,,,42,1140,1068,1019,644,375,18
1960,4,340070CJ001600,34,34,,,,,,,,687,,,648,359,289,,1047,649,398,3442,,2225,,,,36,1181,1006,963,671,292,23
1960,4,340070CJ0017A0,34,34,,,,,,,,222,,,182,83,99,,249,126,123,775,,590,,,,9,176,252,245,127,118,0
1960,4,340070CJ0017B0,34,34,,,,,,,,316,,,454,336,118,,893,695,198,3585,,1946,,,,9,1630,1069,988,544,444,47
1960,4,340070CJ001800,34,34,,,,,,,,737,,,816,561,255,,1551,1069,482,6715,,4235,,,,9,2471,1898,1820,798,1022,27
1960,4,340070CJ001900,34,34,,,,,,,,354,,,265,213,52,,1054,752,302,3373,,876,,,,7,2490,1046,1025,731,294,15
1960,4,340070CJ002000,34,34,,,,,,,,422,,,475,417,58,,1884,1520,364,6437,,2118,,,,17,4302,2058,1967,1460,507,71
1960,4,340070CJ002100,34,34,,,,,,,,206,,,7,7,0,,956,750,206,3149,,32,,,,4,3113,1046,1002,832,170,30
1960,4,340070CJ002200,34,34,,,,,,,,173,,,5,5,0,,1228,1055,173,4192,,13,,,,0,4179,1342,1304,1181,123,24
1960,4,340070CJ002300,34,34,,,,,,,,193,,,25,18,7,,1325,1139,186,4565,,59,,,,0,4502,1462,1394,881,513,64
1960,4,340070CJ002400,34,34,,,,,,,,411,,,0,0,0,,2252,1841,411,7108,,0,,,,11,7097,2393,2353,1867,486,23
1960,4,340070CJ004000,34,34,,,,,,,,121,,,0,0,0,,614,493,121,1973,,1,,,,1,1971,622,622,515,107,6
1960,4,340070CJ004900,34,34,,,,,,,,282,,,0,0,0,,1236,954,282,4459,,0,,,,8,4451,1319,1268,948,320,30
1960,4,340070CJ005000,34,34,,,,,,,,388,,,0,0,0,,1279,891,388,4517,,3,,,,5,4508,1334,1252,864,388,33
1960,4,340070CJ005100,34,34,,,,,,,,133,,,0,0,0,,871,738,133,2947,,0,,,,7,2940,936,902,761,141,17
1960,4,340070CJ005200,34,34,,,,,,,,172,,,0,0,0,,1066,894,172,3538,,0,,,,13,3525,1090,1056,682,374,12
1960,4,340070CJ005300,34,34,,,,,,,,99,,,4,0,4,,748,653,95,2504,,0,,,,1,2503,767,755,565,190,2
1960,4,340070CJ006500,34,34,,,,,,,,472,,,620,384,236,,633,397,236,2165,,2100,,,,5,60,631,584,470,114,10
1960,4,340070CJ007100,34,34,,,,,,,,34,,,4,4,0,,1159,1125,34,4596,,2,,,,6,4588,1199,1173,1145,28,15
1960,4,340070CJ007200,34,34,,,,,,,,122,,,0,0,0,,1005,883,122,3800,,0,,,,7,3793,1062,1034,902,132,10
1960,4,340070CJ007300,34,34,,,,,,,,159,,,154,115,39,,1106,986,120,4199,,494,,,,3,3702,1109,1083,996,87,13
1960,4,340070CJ007400,34,34,,,,,,,,139,,,4,4,0,,1269,1130,139,4839,,18,,,,3,4818,1324,1257,1120,137,31
