g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1960,4,340070CJ007500,34,34,,,,,,,,103,,,8,8,0,,1001,898,103,3784,,44,,,,7,3733,1064,990,939,51,22
1960,4,340070CJ007600,34,34,,,,,,,,39,,,8,8,0,,542,503,39,2141,,0,,,,6,2135,592,545,488,57,26
1960,4,340070CJ007700,34,34,,,,,,,,117,,,31,19,12,,963,858,105,3632,,112,,,,4,3516,1050,973,854,119,31
1960,4,340070CJ007800,34,34,,,,,,,,98,,,0,0,0,,981,883,98,3703,,0,,,,0,3703,1045,993,941,52,22
1960,4,340070CJ007900,34,34,,,,,,,,64,,,0,0,0,,570,506,64,2028,,0,,,,0,2028,603,583,486,97,9
1960,4,340070CJ008000,34,34,,,,,,,,78,,,0,0,0,,1149,1071,78,4308,,1,,,,1,4306,1208,1147,1067,80,44
1960,4,340070CJ008100,34,34,,,,,,,,3,,,0,0,0,,110,107,3,474,,0,,,,0,474,119,119,111,8,2
1960,4,340070CJ008200,34,34,,,,,,,,609,,,51,21,30,,2831,2252,579,10519,,266,,,,17,10236,2666,2459,2270,189,46
1960,4,340070CJ008300,34,34,,,,,,,,141,,,4,4,0,,1499,1358,141,5585,,3,,,,5,5569,1613,1512,1307,205,15
1960,4,340070CJ008400,34,34,,,,,,,,39,,,17,17,0,,399,360,39,1487,,89,,,,14,1392,443,403,341,62,0
1960,4,340070CJ008500,34,34,,,,,,,,154,,,0,0,0,,1097,943,154,3969,,9,,,,12,3938,1320,1132,1029,103,57
1960,4,340070CJ008600,34,34,,,,,,,,204,,,0,0,0,,1109,905,204,3766,,0,,,,0,3766,1299,1160,983,177,17
1960,4,340070CJ008700,34,34,,,,,,,,114,,,0,0,0,,1011,897,114,3578,,2,,,,2,3574,1085,1023,843,180,24
1960,4,340070CJ008800,34,34,,,,,,,,76,,,106,99,7,,887,818,69,3353,,588,,,,0,2775,912,871,768,103,10
1960,4,340070CJ008900,34,34,,,,,,,,248,,,0,0,0,,1174,926,248,3809,,40,,,,0,3769,1147,1056,897,159,21
1960,4,340070CJ009000,34,34,,,,,,,,35,,,82,66,16,,127,108,19,384,,201,,,,0,183,130,115,97,18,3
1960,4,340070CJ009100,34,34,,,,,,,,286,,,219,143,76,,1083,873,210,6023,,1046,,,,43,4934,1205,1061,788,273,54
1960,4,340070CJ009200,34,34,,,,,,,,149,,,103,64,39,,815,705,110,3119,,426,,,,21,2672,936,838,710,128,18
1960,9,420170B0001000,42,42,,,,,,,,316,,,36,16,20,,2300,2004,296,8394,,73,,,,7,8314,2433,2262,1906,356,40
1960,9,420170B0002A00,42,42,,,,,,,,373,,,204,134,70,,1441,1138,303,4660,,707,,,,13,3940,1547,1430,1285,145,21
1960,9,420170B0002B00,42,42,,,,,,,,115,,,4,4,0,,632,517,115,2253,,4,,,,1,2248,629,598,577,21,8
1960,9,420170B0002C00,42,42,,,,,,,,52,,,5,5,0,,1174,1122,52,4865,,12,,,,1,4852,1266,1197,1144,53,39
1960,9,420170B0002D00,42,42,,,,,,,,240,,,34,21,13,,928,701,227,3306,,229,,,,9,3068,838,785,693,92,12
1960,9,420170B0003A00,42,42,,,,,,,,160,,,5,5,0,,2196,2036,160,8776,,11,,,,21,8744,2341,2217,2012,205,65
1960,9,420170B0003B00,42,42,,,,,,,,223,,,0,0,0,,1506,1283,223,5334,,12,,,,4,5318,1608,1524,1264,260,25
1960,9,420170B0003C00,42,42,,,,,,,,153,,,230,208,22,,1646,1515,131,6821,,1233,,,,13,5575,1809,1711,1144,567,73
1960,9,420170B0004A00,42,42,,,,,,,,86,,,0,0,0,,1784,1698,86,7609,,4,,,,11,7594,1796,1751,1585,166,26
1960,9,420170B0004B00,42,42,,,,,,,,54,,,8,8,0,,1901,1847,54,8365,,1,,,,40,8324,1996,1933,1702,231,46
1960,9,420170B0004C00,42,42,,,,,,,,83,,,227,212,15,,694,626,68,2528,,980,,,,10,1538,746,679,584,95,58
1960,9,420170B0004D00,42,42,,,,,,,,44,,,0,0,0,,1934,1890,44,8158,,12,,,,12,8134,2037,1984,1793,191,30
1960,9,420170B0004E00,42,42,,,,,,,,114,,,4,4,0,,2697,2583,114,11685,,1,,,,14,11645,2829,2725,2482,243,65
1960,9,420170B0004F00,42,42,,,,,,,,9,,,0,0,0,,14,5,9,22,,0,,,,0,47,13,13,8,5,2
1960,9,420170B0005000,42,42,,,,,,,,141,,,0,0,0,,929,788,141,3132,,0,,,,0,3132,996,979,717,262,13
1960,9,420170B0006000,42,42,,,,,,,,472,,,92,48,44,,1582,1154,428,5252,,283,,,,0,4969,1632,1569,889,680,40
1960,9,420170B0007000,42,42,,,,,,,,184,,,72,66,6,,1025,847,178,3980,,336,,,,1,3643,1126,1095,829,266,19
1960,9,420170B0008A00,42,42,,,,,,,,92,,,17,3,14,,525,447,78,1766,,24,,,,14,1728,577,500,360,140,36
1960,9,420170B0008B00,42,42,,,,,,,,7,,,0,0,0,,505,498,7,1874,,0,,,,0,1874,526,499,459,40,3
1960,9,420170B0008C00,42,42,,,,,,,,33,,,4,4,0,,1476,1443,33,6176,,2,,,,0,6174,1511,1491,1443,48,12
1960,9,420170B0008D00,42,42,,,,,,,,53,,,11,0,11,,1113,1071,42,4900,,9,,,,18,4873,1134,1108,1047,61,11
1960,9,420170B0008E00,42,42,,,,,,,,66,,,12,8,4,,1940,1878,62,8399,,9,,,,29,8361,1969,1954,1845,109,1
1960,9,420170B0009000,42,42,,,,,,,,84,,,0,0,0,,1016,932,84,3779,,1,,,,4,3774,1166,1026,938,88,22
1960,9,420170B0010000,42,42,,,,,,,,31,,,0,0,0,,286,255,31,968,,0,,,,0,968,305,287,189,98,2
1960,9,420170B0011000,42,42,,,,,,,,71,,,0,0,0,,578,507,71,2158,,1,,,,0,2157,614,589,470,119,18
1960,9,420170B0012000,42,42,,,,,,,,229,,,13,8,5,,446,222,224,1506,,44,,,,0,1462,251,251,219,32,0
1960,9,420170B0013000,42,42,,,,,,,,126,,,49,41,8,,469,351,118,1461,,173,,,,10,1278,521,483,314,169,28
1960,9,420170B0014A00,42,42,,,,,,,,45,,,0,0,0,,1194,1149,45,4202,,0,,,,0,4202,1258,1201,1130,71,32
1960,9,420170B0014B00,42,42,,,,,,,,94,,,0,0,0,,1636,1542,94,6112,,0,,,,0,6112,1727,1635,1554,81,33
1960,9,420170B0014C00,42,42,,,,,,,,65,,,0,0,0,,626,561,65,2305,,1,,,,0,2304,703,628,573,55,18
1960,9,420170B0015A00,42,42,,,,,,,,168,,,0,0,0,,860,692,168,2886,,5,,,,0,2881,842,796,743,53,35
1960,9,420170B0015B00,42,42,,,,,,,,85,,,3,3,0,,1397,1312,85,5055,,26,,,,5,5024,1476,1385,1305,80,63
1960,9,420170B0016A00,42,42,,,,,,,,160,,,0,0,0,,2053,1893,160,8274,,2,,,,10,8262,2157,2026,1825,201,68
1960,9,420170B0016B00,42,42,,,,,,,,152,,,16,12,4,,1844,1696,148,7720,,5,,,,25,7690,2004,1841,742,1099,143
1960,9,420170B0017000,42,42,,,,,,,,22,,,0,0,0,,113,91,22,425,,0,,,,1,424,127,121,98,23,2
1960,9,420170B0018000,42,42,,,,,,,,187,,,12,4,8,,1198,1019,179,4148,,22,,,,12,4114,1225,1126,952,174,22
1960,9,420170B0019000,42,42,,,,,,,,51,,,0,0,0,,395,344,51,1410,,0,,,,2,1408,411,397,324,73,9
1960,9,420170B0020000,42,42,,,,,,,,63,,,12,12,0,,818,755,63,3090,,40,,,,9,3041,944,859,777,82,28
1960,9,420170B0021A00,42,42,,,,,,,,118,,,4,4,0,,1020,902,118,3833,,18,,,,0,3815,1116,1054,912,142,29
1960,9,420170B0021B00,42,42,,,,,,,,26,,,4,4,0,,440,414,26,1716,,1,,,,12,1703,478,456,378,78,4
1960,9,420170B0022000,42,42,,,,,,,,6,,,0,0,0,,131,125,6,489,,5,,,,1,483,140,132,92,40,3
1960,9,420170B0023000,42,42,,,,,,,,173,,,40,24,16,,629,472,157,1990,,81,,,,3,1906,660,582,477,105,13
1960,9,420170B0024000,42,42,,,,,,,,250,,,0,0,0,,1475,1225,250,4650,,2,,,,0,4648,1550,1521,1163,358,15
1960,9,420170B0025000,42,42,,,,,,,,152,,,3,0,3,,742,593,149,2497,,1,,,,0,2496,792,764,583,181,16
1960,9,420170B0026000,42,42,,,,,,,,22,,,0,0,0,,170,148,22,580,,1,,,,3,576,201,186,136,50,9
1960,9,420170B0027000,42,42,,,,,,,,129,,,5,5,0,,748,619,129,2484,,23,,,,5,2456,936,706,591,115,25
1960,9,420170B0028000,42,42,,,,,,,,113,,,0,0,0,,998,885,113,3524,,4,,,,0,3520,1127,977,842,135,19
1960,9,420170B0029000,42,42,,,,,,,,41,,,0,0,0,,224,183,41,785,,0,,,,0,785,232,232,156,76,0
1960,9,420170B0030A00,42,42,,,,,,,,82,,,0,0,0,,451,369,82,1564,,1,,,,0,1563,474,449,382,67,10
1960,9,420170B0030B00,42,42,,,,,,,,76,,,0,0,0,,644,568,76,2219,,8,,,,0,2211,676,644,538,106,10
1960,9,420170B0031000,42,42,,,,,,,,454,,,0,0,0,,2085,1631,454,6305,,5,,,,4,6296,2137,2064,1412,652,64
1960,9,420170B0032000,42,42,,,,,,,,27,,,0,0,0,,222,195,27,741,,0,,,,0,741,232,220,158,62,5
1960,9,420170B0033000,42,42,,,,,,,,63,,,3,3,0,,355,292,63,1273,,11,,,,1,1261,566,363,299,64,10
1960,9,420170B0034000,42,42,,,,,,,,168,,,17,0,17,,924,773,151,3085,,24,,,,1,3060,993,909,723,186,26
1960,9,420170B0035000,42,42,,,,,,,,20,,,0,0,0,,202,182,20,735,,0,,,,0,735,257,210,178,32,7
1960,9,420170B0036000,42,42,,,,,,,,24,,,0,0,0,,288,264,24,953,,0,,,,0,953,315,303,203,100,7
1960,9,420170B0037000,42,42,,,,,,,,80,,,0,0,0,,508,428,80,1785,,0,,,,0,1785,646,507,434,73,11
1960,9,420170B0038000,42,42,,,,,,,,31,,,0,0,0,,274,243,31,948,,2,,,,0,946,354,296,238,58,16
1960,9,420170B0039000,42,42,,,,,,,,84,,,0,0,0,,525,441,84,1746,,1,,,,0,1745,779,544,467,77,18
1960,9,420170B0040000,42,42,,,,,,,,97,,,5,0,5,,784,692,92,2740,,7,,,,0,2733,862,781,625,156,13
1960,9,420170B0041000,42,42,,,,,,,,13,,,0,0,0,,146,133,13,517,,3,,,,0,514,159,159,131,28,1
1960,9,420170B0042000,42,42,,,,,,,,184,,,0,0,0,,1011,827,184,3354,,4,,,,3,3347,1159,1014,821,193,26
1960,9,420170B0043000,42,42,,,,,,,,216,,,29,15,14,,955,753,202,2972,,49,,,,5,2918,1191,974,720,254,56
1960,9,420170B0044000,42,42,,,,,,,,102,,,11,5,6,,339,243,96,958,,31,,,,2,925,443,392,239,153,30
1960,9,420170B0045A00,42,42,,,,,,,,132,,,4,4,0,,647,515,132,2110,,33,,,,16,2061,683,648,519,129,7
1960,9,420170B0045B00,42,42,,,,,,,,64,,,7,3,4,,560,500,60,1908,,41,,,,0,1867,616,563,401,162,14
1960,9,420170B0046000,42,42,,,,,,,,508,,,26,9,17,,1329,838,491,3795,,50,,,,2,3743,1029,951,750,201,37
1960,9,420170B0047000,42,42,,,,,,,,597,,,25,19,6,,1999,1408,591,5917,,90,,,,8,5819,2052,1981,1238,743,37
1960,9,420170B0048000,42,42,,,,,,,,20,,,0,0,0,,288,268,20,1109,,0,,,,0,1109,329,317,288,29,5
1960,9,420170B0049000,42,42,,,,,,,,41,,,4,4,0,,495,454,41,1810,,5,,,,4,1801,565,488,410,78,12
1960,9,420170B0050A00,42,42,,,,,,,,57,,,0,0,0,,835,778,57,3022,,5,,,,0,3017,892,833,738,95,18
1960,9,420170B0050B00,42,42,,,,,,,,82,,,4,4,0,,847,765,82,2984,,10,,,,0,2974,884,829,695,134,18
1960,9,420170B0051000,42,42,,,,,,,,53,,,3,3,0,,506,453,53,1734,,21,,,,0,1713,551,505,401,104,16
1960,9,420170B0052000,42,42,,,,,,,,57,,,32,20,12,,396,351,45,1468,,77,,,,8,1383,447,419,328,91,9
1960,9,420170B0053000,42,42,,,,,,,,235,,,20,10,10,,770,545,225,2323,,75,,,,0,2248,784,756,445,311,11
1960,9,420170B0054000,42,42,,,,,,,,69,,,4,4,0,,570,501,69,1991,,13,,,,5,1973,654,590,463,127,15
1960,9,420170B0055A00,42,42,,,,,,,,48,,,4,0,4,,551,507,44,1894,,22,,,,3,1869,582,541,446,95,12
1960,9,420170B0055B00,42,42,,,,,,,,89,,,8,0,8,,1841,1760,81,6710,,18,,,,2,6690,1972,1872,1782,90,46
1960,9,420170B0056000,42,42,,,,,,,,157,,,56,46,10,,688,541,147,2271,,244,,,,20,2007,706,684,490,194,8
1960,9,420170B0057000,42,42,,,,,,,,435,,,29,22,7,,2365,1937,428,7790,,82,,,,0,7708,2761,2375,1881,494,54
1960,9,420170B0058A00,42,42,,,,,,,,38,,,8,8,0,,599,561,38,2401,,3,,,,5,2393,639,615,569,46,11
1960,9,420170B0058B00,42,42,,,,,,,,172,,,4,4,0,,2794,2622,172,11254,,2,,,,18,11234,3089,2777,2667,110,295
1960,9,420170B0058C00,42,42,,,,,,,,112,,,0,0,0,,2741,2629,112,11711,,0,,,,9,11702,2853,2802,2576,226,13
1960,9,420170B0058D00,42,42,,,,,,,,169,,,38,17,21,,1031,883,148,3716,,153,,,,11,3552,1163,1046,853,193,14
1960,9,420170B0059A00,42,42,,,,,,,,56,,,0,0,0,,486,430,56,1815,,0,,,,5,1810,472,464,416,48,4
1960,9,420170B0059B00,42,42,,,,,,,,50,,,0,0,0,,188,138,50,637,,0,,,,0,637,184,177,110,67,1
1960,23,420450D0001000,42,42,,,,,,,,164,,,0,0,0,,347,183,164,793,,0,,,,0,793,392,371,136,235,8
1960,23,420450D0002000,42,42,,,,,,,,316,,,4,4,0,,1135,819,316,3463,,0,,,,2,3461,1161,1142,865,277,15
1960,23,420450D0003000,42,42,,,,,,,,518,,,20,20,0,,3776,3258,518,13073,,102,,,,10,12961,4106,4017,3241,776,56
1960,23,420450D0004000,42,42,,,,,,,,1009,,,16,8,8,,3346,2345,1001,9614,,10,,,,6,9598,3622,3544,2374,1170,42
1960,23,420450D0005000,42,42,,,,,,,,217,,,0,0,0,,1341,1124,217,4713,,1,,,,0,4712,1418,1391,1188,203,18
1960,23,420450D0006000,42,42,,,,,,,,238,,,4,4,0,,1632,1394,238,5858,,0,,,,8,5850,1830,1787,1457,330,31
1960,23,420450D0007000,42,42,,,,,,,,411,,,0,0,0,,1698,1287,411,5376,,3,,,,4,5369,1778,1742,1339,403,19
1960,23,420450D0008000,42,42,,,,,,,,248,,,3,3,0,,1297,1049,248,4390,,7,,,,7,4376,1415,1373,1074,299,28
1960,23,420450D0009000,42,42,,,,,,,,146,,,4,0,4,,586,444,142,1923,,5,,,,2,1916,551,551,524,27,5
1960,23,420450D0010000,42,42,,,,,,,,203,,,4,0,4,,887,688,199,3000,,6,,,,0,2994,935,924,681,243,7
1960,23,420450D0011000,42,42,,,,,,,,359,,,4,4,0,,3636,3277,359,13701,,3,,,,8,13690,3803,3738,3242,496,35
1960,23,420450D0012000,42,42,,,,,,,,165,,,0,0,0,,1287,1122,165,4431,,6,,,,0,4425,1407,1378,1103,275,14
1960,23,420450D0013000,42,42,,,,,,,,451,,,0,0,0,,2111,1660,451,6320,,2,,,,0,6318,2300,2227,847,1380,50
1960,23,420450D0014000,42,42,,,,,,,,177,,,0,0,0,,1896,1719,177,7056,,1,,,,3,7052,2072,2011,1679,332,51
1960,23,420450D0015000,42,42,,,,,,,,104,,,6,0,6,,2118,2020,98,8629,,11,,,,14,8604,2171,2146,2020,126,8
1960,23,420450D0016000,42,42,,,,,,,,32,,,3,0,3,,439,410,29,1611,,6,,,,5,1600,464,453,432,21,9
1960,23,420450D0017000,42,42,,,,,,,,186,,,4,0,4,,939,757,182,3224,,1,,,,9,3214,1018,986,680,306,24
1960,23,420450D0018000,42,42,,,,,,,,356,,,3,3,0,,1369,1013,356,4404,,6,,,,3,4395,1474,1438,1038,400,22
1960,23,420450D0019000,42,42,,,,,,,,358,,,7,4,3,,1670,1315,355,5337,,18,,,,13,5306,1784,1748,1336,412,20
1960,23,420450D0020000,42,42,,,,,,,,380,,,83,56,27,,1058,705,353,2860,,277,,,,8,2575,1107,1067,474,593,18
1960,23,420450D0021000,42,42,,,,,,,,250,,,8,0,8,,2071,1829,242,7438,,1,,,,2,7435,2256,2217,1918,299,11
1960,23,420450D0022000,42,42,,,,,,,,276,,,357,311,46,,704,474,230,2475,,1426,,,,7,1042,646,636,578,58,6
1960,23,420450D0023000,42,42,,,,,,,,54,,,0,0,0,,494,440,54,1697,,1,,,,0,1696,511,511,457,54,1
1960,23,420450D0024000,42,42,,,,,,,,220,,,12,8,4,,1213,997,216,4210,,2,,,,13,4195,1345,1278,904,374,41
1960,23,420450D0025000,42,42,,,,,,,,452,,,586,434,152,,1397,1097,300,4889,,1928,,,,3,2958,1541,1466,1017,449,35
1960,23,420450D0026000,42,42,,,,,,,,225,,,0,0,0,,1242,1017,225,4960,,0,,,,4,4956,1184,1163,1066,97,9
1960,23,420450D0027000,42,42,,,,,,,,93,,,0,0,0,,813,720,93,3074,,17,,,,0,3057,903,878,717,161,9
1960,23,420450D0028000,42,42,,,,,,,,279,,,12,0,12,,1914,1647,267,7123,,37,,,,11,7075,2007,1957,1618,339,34
1960,23,420450D0029000,42,42,,,,,,,,374,,,856,673,183,,880,689,191,3519,,3411,,,,13,95,940,899,644,255,20
1960,23,420450D0030000,42,42,,,,,,,,74,,,69,52,17,,2180,2123,57,9079,,280,,,,0,8799,2257,2212,2106,106,15
1960,23,420450D0031A00,42,42,,,,,,,,196,,,0,0,0,,1144,948,196,4119,,1,,,,0,4118,1225,1175,916,259,23
1960,23,420450D0031B00,42,42,,,,,,,,207,,,0,0,0,,1668,1461,207,6149,,6,,,,0,6143,1833,1787,1376,411,35
1960,23,420450D0032000,42,42,,,,,,,,164,,,0,0,0,,1274,1110,164,4324,,2,,,,3,4319,1331,1315,1146,169,5
1960,23,420450D0033000,42,42,,,,,,,,220,,,0,0,0,,2067,1847,220,8005,,1,,,,1,8003,2231,2189,1770,419,28
1960,23,420450D0034A00,42,42,,,,,,,,86,,,0,0,0,,804,718,86,2987,,7,,,,1,2979,850,826,700,126,16
1960,23,420450D0034B00,42,42,,,,,,,,14,,,0,0,0,,990,976,14,4026,,0,,,,1,4025,1072,1008,968,40,46
1960,23,420450D0035000,42,42,,,,,,,,239,,,0,0,0,,2035,1796,239,7249,,8,,,,7,7234,2152,2101,1792,309,31
1960,23,420450D0036000,42,42,,,,,,,,253,,,8,8,0,,1871,1618,253,6729,,18,,,,3,6708,2017,1922,1381,541,77
1960,23,420450D0037000,42,42,,,,,,,,284,,,0,0,0,,1334,1050,284,4375,,2,,,,0,4373,1357,1310,1030,280,19
1960,23,420450D0038000,42,42,,,,,,,,235,,,16,16,0,,1916,1681,235,6596,,53,,,,9,6534,2111,2049,1568,481,29
1960,23,420450D0039000,42,42,,,,,,,,327,,,20,8,12,,2141,1826,315,7387,,18,,,,9,7360,2284,2212,1697,515,34
1960,23,420450D0040A00,42,42,,,,,,,,180,,,8,8,0,,2292,2112,180,8795,,23,,,,14,8758,2332,2271,2119,152,27
