g_yr,g_cy,Geo_FIPS,g_id,I,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_hi,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2010,5,34005700102,34,80045.0,34,1052,7,45,17,8,1035,1,315,2,78,,,,974,,,,2638,32,109,61,46,4,3,24,2420,1118,1052,877,175,66
2010,5,34005700103,34,65429.0,34,1401,33,141,56,14,1345,5,672,2,245,,,,1156,,,,2839,76,303,154,67,7,3,40,2343,1519,1401,1026,375,118
2010,5,34005700104,34,47317.0,34,703,8,230,43,19,660,7,231,0,300,,,,403,,,,1921,28,664,182,74,12,0,80,1063,755,703,439,264,52
2010,5,34005700200,34,96848.0,34,1057,4,33,22,13,1035,1,302,0,73,,,,984,,,,2779,21,92,56,52,3,2,13,2596,1112,1057,827,230,55
2010,5,34005700303,34,64250.0,34,1107,28,190,41,17,1066,1,338,0,275,,,,832,,,,2897,88,514,148,79,2,0,48,2166,1187,1107,904,203,80
2010,5,34005700304,34,85000.0,34,881,8,23,19,5,862,0,204,0,55,,,,826,,,,2454,30,88,87,40,0,3,39,2254,907,881,830,51,26
2010,5,34005700305,34,97813.0,34,1762,38,46,32,15,1730,1,383,0,129,,,,1633,,,,4894,128,123,116,63,5,0,15,4560,1832,1762,1695,67,70
2010,5,34005700306,34,96250.0,34,864,13,13,17,6,847,1,136,0,52,,,,812,,,,2542,42,54,68,23,2,0,38,2383,892,864,837,27,28
2010,5,34005700307,34,101500.0,34,921,22,23,13,8,908,1,122,0,68,,,,853,,,,2782,82,76,59,39,4,0,13,2568,940,921,908,13,19
2010,5,34005700401,34,79569.0,34,783,8,6,14,9,769,0,246,0,35,,,,748,,,,2051,29,21,60,32,0,1,13,1955,816,783,694,89,33
2010,5,34005700402,34,78917.0,34,1283,11,11,37,16,1246,2,368,0,75,,,,1208,,,,3345,44,81,138,58,4,0,32,3126,1323,1283,1182,101,40
2010,5,34005700403,34,60694.0,34,1676,21,36,57,15,1619,1,587,0,125,,,,1551,,,,4438,96,139,206,50,1,1,64,4087,1763,1676,1231,445,87
2010,5,34005700405,34,67094.0,34,668,15,17,17,5,651,1,228,0,55,,,,613,,,,1643,43,35,65,28,1,0,23,1513,694,668,532,136,26
2010,5,34005700407,34,50266.0,34,2819,254,626,349,141,2470,9,1574,2,1317,,,,1502,,,,5529,648,1253,959,323,21,2,410,2872,3139,2819,339,2480,320
2010,5,34005700408,34,39745.0,34,1296,99,177,78,27,1218,3,864,1,376,,,,920,,,,2125,220,297,163,57,4,1,59,1487,1451,1296,161,1135,155
2010,5,34005700501,34,90855.0,34,2133,62,159,62,33,2071,4,590,2,311,,,,1822,,,,5483,219,428,242,142,6,2,61,4625,2228,2133,1555,578,95
2010,5,34005700502,34,88125.0,34,816,24,31,27,7,789,1,231,0,92,,,,724,,,,2215,83,87,112,38,2,0,35,1970,860,816,641,175,44
2010,5,34005700503,34,118676.0,34,1341,28,198,46,34,1295,2,296,1,301,,,,1040,,,,3713,91,473,146,129,8,2,34,2976,1402,1341,1111,230,61
2010,5,34005700504,34,97143.0,34,1130,14,71,25,8,1105,0,329,0,117,,,,1013,,,,3136,61,196,89,48,0,1,17,2813,1219,1130,819,311,89
2010,5,34005700505,34,228000.0,34,2030,212,53,33,8,1997,0,380,0,305,,,,1725,,,,6179,790,147,132,90,2,0,21,5129,2153,2030,1768,262,123
2010,5,34005700602,34,94167.0,34,2316,118,194,72,35,2244,4,579,2,424,,,,1892,,,,6505,412,565,277,183,10,5,104,5226,2389,2316,2140,176,73
2010,5,34005700603,34,71980.0,34,2120,55,335,112,43,2008,4,605,1,581,,,,1539,,,,5621,172,761,352,171,14,1,270,4232,2296,2120,1268,852,176
2010,5,34005700605,34,87656.0,34,1712,26,127,37,12,1675,5,330,0,222,,,,1490,,,,4770,99,290,150,56,9,1,85,4230,1757,1712,1351,361,45
2010,5,34005700701,34,66307.0,34,1222,7,49,69,57,1153,3,391,0,191,,,,1031,,,,3205,28,148,281,194,13,0,168,2654,1259,1222,876,346,37
2010,5,34005700702,34,53934.0,34,886,10,64,79,21,807,2,288,0,192,,,,694,,,,2451,31,186,317,119,7,0,216,1892,961,886,511,375,75
2010,5,34005700703,34,55929.0,34,851,6,63,67,25,784,0,253,1,174,,,,677,,,,2423,18,182,318,99,1,4,185,1934,927,851,554,297,76
2010,5,34005700800,34,81531.0,34,1755,25,197,47,24,1708,5,514,1,291,,,,1464,,,,4283,80,470,152,122,20,5,40,3546,1853,1755,1446,309,98
2010,5,34005700900,34,53112.0,34,1002,6,284,57,28,945,3,331,0,364,,,,638,,,,2577,20,770,236,125,4,0,69,1589,1086,1002,686,316,84
2010,5,34005701001,34,48393.0,34,2288,49,672,188,104,2100,8,1029,1,989,,,,1299,,,,4862,153,1364,554,258,19,2,244,2822,2484,2288,1205,1083,196
2010,5,34005701002,34,76750.0,34,1395,32,360,104,40,1291,3,330,0,560,,,,835,,,,4019,130,1062,416,180,11,0,333,2303,1442,1395,1067,328,47
2010,5,34005701102,34,90795.0,34,1917,94,479,96,34,1821,4,607,1,694,,,,1223,,,,5516,331,1224,384,182,9,1,94,3675,1988,1917,1546,371,71
2010,5,34005701103,34,105744.0,34,2075,129,627,112,55,1963,2,388,1,909,,,,1166,,,,6371,490,1789,456,255,6,1,146,3684,2125,2075,1798,277,50
2010,5,34005701104,34,52813.0,34,1708,81,524,99,42,1609,3,486,2,754,,,,954,,,,4556,333,1299,317,142,9,5,177,2591,1785,1708,1123,585,77
2010,5,34005701105,34,84435.0,34,2097,109,646,121,50,1976,3,571,1,906,,,,1191,,,,6151,436,2010,436,184,11,2,127,3381,2207,2097,1647,450,110
2010,5,34005701201,34,71083.0,34,1131,19,297,46,18,1085,0,334,0,370,,,,761,,,,2967,64,862,186,86,2,0,47,1906,1193,1131,925,206,62
2010,5,34005701203,34,58958.0,34,752,14,177,34,7,718,1,252,1,230,,,,522,,,,1857,46,419,103,44,5,3,31,1309,788,752,489,263,36
2010,5,34005701204,34,45024.0,34,1048,11,501,45,32,1003,2,462,0,574,,,,474,,,,2818,41,1521,193,150,5,0,78,1023,1203,1048,379,669,155
2010,5,34005701205,34,43040.0,34,927,12,188,46,20,881,2,373,0,262,,,,665,,,,2278,50,470,163,73,6,1,71,1607,1039,927,595,332,112
2010,5,34005701301,34,67348.0,34,1857,43,298,58,41,1799,1,691,1,431,,,,1426,,,,4426,127,746,232,188,7,2,72,3284,1998,1857,1297,560,141
2010,5,34005701302,34,77650.0,34,1047,24,46,21,14,1026,3,355,0,101,,,,946,,,,2649,101,129,93,57,6,0,10,2346,1091,1047,870,177,44
2010,5,34005701303,34,92688.0,34,1871,108,208,74,28,1797,4,444,2,413,,,,1458,,,,5034,382,606,251,125,10,5,39,3867,1964,1871,1687,184,93
2010,5,34005701401,34,117331.0,34,2232,155,268,97,22,2135,6,418,1,530,,,,1702,,,,6495,579,840,388,167,11,5,45,4848,2305,2232,2077,155,73
2010,5,34005701402,34,51911.0,34,1169,22,23,16,2,1153,1,531,0,63,,,,1106,,,,2049,78,50,40,5,3,0,8,1905,1224,1169,1127,42,55
2010,5,34005701502,34,58892.0,34,1549,69,102,79,15,1470,4,515,0,260,,,,1289,,,,3724,234,212,227,62,13,0,64,3139,1664,1549,1032,517,115
2010,5,34005701700,34,66885.0,34,1859,34,171,75,21,1784,3,937,1,299,,,,1560,,,,3924,107,397,228,88,8,1,46,3277,2014,1859,981,878,155
2010,5,34005702101,34,50645.0,34,892,17,149,119,30,773,7,123,5,314,,,,578,,,,2887,69,468,419,212,9,25,126,1978,1391,892,4,888,499
2010,5,34005702203,34,55657.0,34,1357,38,444,171,44,1186,7,517,0,676,,,,681,,,,3309,108,1073,477,176,12,1,163,1776,1465,1357,852,505,108
2010,5,34005702204,34,43571.0,34,638,7,146,85,17,553,3,154,1,251,,,,387,,,,2289,26,604,366,119,4,1,134,1401,700,638,370,268,62
2010,5,34005702206,34,56173.0,34,714,7,86,49,25,665,3,248,0,168,,,,546,,,,1875,23,226,164,81,6,1,40,1498,772,714,562,152,58
2010,5,34005702207,34,44076.0,34,1481,51,272,118,43,1363,5,582,3,476,,,,1005,,,,3682,117,694,380,235,11,6,95,2524,1595,1481,1091,390,114
2010,5,34005702208,34,82212.0,34,2413,49,365,175,70,2238,8,518,5,643,,,,1770,,,,7064,187,1107,721,332,15,8,159,5256,2574,2413,2203,210,161
2010,5,34005702209,34,61214.0,34,1065,26,167,91,38,974,7,269,1,309,,,,756,,,,3065,94,481,302,182,14,1,38,2255,1139,1065,906,159,74
2010,5,34005702210,34,43777.0,34,1756,87,423,184,66,1572,13,497,1,730,,,,1026,,,,4863,210,1192,671,316,32,2,169,2942,1859,1756,1316,440,103
2010,5,34005702300,34,65833.0,34,581,17,85,52,19,529,1,177,0,161,,,,420,,,,1409,46,215,179,53,3,0,44,1048,642,581,387,194,61
2010,5,34005702400,34,100586.0,34,1162,20,44,30,10,1132,1,221,0,106,,,,1056,,,,3414,87,130,127,56,7,0,41,3093,1217,1162,1062,100,55
2010,5,34005702500,34,69375.0,34,2281,83,395,149,47,2132,9,642,2,663,,,,1618,,,,6069,272,1030,503,205,21,4,100,4437,2380,2281,1556,725,99
2010,5,34005702601,34,73407.0,34,1566,27,240,116,34,1450,5,484,2,407,,,,1159,,,,4058,71,710,379,158,12,5,108,2994,1655,1566,1258,308,89
2010,5,34005702603,34,41806.0,34,852,10,160,70,28,782,3,335,0,258,,,,594,,,,2316,27,455,262,143,6,1,87,1597,968,852,402,450,116
2010,5,34005702700,34,96032.0,34,3195,167,791,224,66,2971,7,766,2,1218,,,,1977,,,,8813,608,2243,779,367,17,3,199,5376,3291,3195,2945,250,96
2010,5,34005702801,34,82448.0,34,713,8,528,42,25,671,2,150,0,593,,,,120,,,,2077,31,1554,178,81,8,1,66,336,746,713,667,46,33
2010,5,34005702802,34,75024.0,34,1128,19,808,75,24,1053,8,248,2,911,,,,217,,,,3390,67,2482,265,134,22,4,88,593,1177,1128,1042,86,49
2010,5,34005702803,34,67961.0,34,1343,11,959,83,42,1260,5,282,0,1078,,,,265,,,,3936,38,2892,345,171,15,0,112,708,1406,1343,1235,108,63
2010,5,34005702804,34,65250.0,34,971,10,678,57,25,914,3,246,0,755,,,,216,,,,2647,37,1918,222,101,7,0,73,511,1004,971,906,65,33
2010,5,34005702805,34,66935.0,34,1254,28,871,84,33,1170,5,250,1,1006,,,,248,,,,3812,116,2747,319,154,17,1,130,647,1314,1254,1146,108,60
2010,5,34005702806,34,65591.0,34,1184,21,835,93,40,1091,5,230,0,966,,,,218,,,,3792,62,2718,396,203,21,1,138,649,1269,1184,1046,138,85
2010,5,34005702807,34,54839.0,34,1223,32,814,101,43,1122,2,427,0,969,,,,254,,,,3184,106,2117,345,164,5,1,132,659,1292,1223,766,457,69
2010,5,34005702808,34,61033.0,34,1082,27,756,72,38,1010,5,215,1,878,,,,204,,,,3356,108,2403,293,158,9,1,140,537,1154,1082,975,107,72
2010,5,34005702809,34,61033.0,34,615,5,454,28,19,587,1,256,0,499,,,,116,,,,1402,14,1085,72,55,3,0,31,214,653,615,478,137,38
2010,5,34005702810,34,98833.0,34,459,5,328,27,10,432,1,103,0,357,,,,102,,,,1405,16,1047,116,64,2,0,31,245,486,459,431,28,27
2010,5,34005702811,34,90662.0,34,912,8,692,42,33,870,5,190,0,766,,,,146,,,,2628,40,2044,186,112,8,1,47,376,941,912,868,44,29
2010,5,34005702905,34,81875.0,34,1714,98,127,55,13,1659,2,645,1,290,,,,1424,,,,4120,244,317,177,86,9,1,32,3431,1834,1714,1145,569,120
2010,5,34005702906,34,92083.0,34,645,36,29,18,6,627,1,84,0,89,,,,556,,,,2140,131,153,79,31,1,2,19,1803,671,645,614,31,26
2010,5,34005702907,34,72679.0,34,1234,28,27,16,10,1218,2,367,0,81,,,,1153,,,,2935,77,70,66,38,5,0,7,2738,1267,1234,1191,43,33
2010,5,34005702908,34,67143.0,34,1983,60,48,22,7,1961,2,744,1,142,,,,1841,,,,4423,183,140,104,34,3,4,15,4044,2076,1983,1901,82,93
2010,5,34005702909,34,96104.0,34,2507,208,255,79,33,2428,2,800,1,567,,,,1940,,,,6191,666,689,285,159,5,2,58,4612,2565,2507,2286,221,58
2010,5,34005702910,34,110602.0,34,2104,110,199,78,29,2026,3,607,0,411,,,,1693,,,,5585,403,508,269,142,7,0,88,4437,2167,2104,1779,325,63
2010,5,34005702913,34,70089.0,34,2437,179,343,114,56,2323,3,1388,0,672,,,,1765,,,,4401,464,705,265,144,4,1,56,3027,2571,2437,1622,815,134
2010,5,34005702914,34,91741.0,34,1506,71,120,58,17,1448,1,288,0,260,,,,1246,,,,4205,244,363,214,106,3,0,46,3443,1558,1506,1395,111,52
2010,5,34005702915,34,74135.0,34,1731,102,298,87,42,1644,9,594,5,525,,,,1206,,,,4262,303,755,294,175,25,6,59,2939,1811,1731,1273,458,80
