g_yr,g_cy,Geo_FIPS,g_id,I,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_hi,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1940,7,3400700010000,34,,34,,,,,,,,,,,,,,,,,,4042,,0,,,,,0,4042,1128,1087,445,642,41
1940,7,3400700020000,34,,34,,,,,,,,,,,,,,,,,,4428,,4,,,,,0,4424,1142,1125,434,691,17
1940,7,3400700030000,34,,34,,,,,,,,,,,,,,,,,,4003,,0,,,,,0,4003,1084,1058,444,614,26
1940,7,3400700040000,34,,34,,,,,,,,,,,,,,,,,,4446,,261,,,,,0,4185,1277,1251,327,924,26
1940,7,3400700050000,34,,34,,,,,,,,,,,,,,,,,,6058,,152,,,,,2,5904,1697,1638,549,1089,59
1940,7,3400700060000,34,,34,,,,,,,,,,,,,,,,,,6296,,2,,,,,1,6293,1792,1755,735,1020,37
1940,7,3400700070000,34,,34,,,,,,,,,,,,,,,,,,6463,,23,,,,,1,6439,1939,1864,654,1210,75
1940,7,3400700080000,34,,34,,,,,,,,,,,,,,,,,,4577,,0,,,,,3,4574,1275,1216,427,789,59
1940,7,3400700090000,34,,34,,,,,,,,,,,,,,,,,,5779,,0,,,,,11,5768,1656,1592,492,1100,64
1940,7,3400700100000,34,,34,,,,,,,,,,,,,,,,,,5556,,1565,,,,,6,3985,1532,1456,382,1074,76
1940,7,3400700110000,34,,34,,,,,,,,,,,,,,,,,,5703,,678,,,,,9,5016,1706,1608,365,1243,98
1940,7,3400700120000,34,,34,,,,,,,,,,,,,,,,,,5181,,881,,,,,5,4295,1180,1139,513,626,41
1940,7,3400700130000,34,,34,,,,,,,,,,,,,,,,,,3538,,1597,,,,,5,1936,844,810,176,634,34
1940,7,3400700140000,34,,34,,,,,,,,,,,,,,,,,,5478,,231,,,,,0,5247,1305,1281,577,704,24
