g_yr,g_cy,Geo_FIPS,g_id,I,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1980,5,34005700102,34,,34,1088.99999232013,2.9999999788433303,15.9999998871644,2.9999999788433303,,1085.99999234129,0.0,279.999998025378,,,,,,,,,,3007.99997878692,12.999999908321099,24.999999823694502,,0.999999992947778,,4.9999999647388895,2963.99997909721,1125.9999920592,1088.99999232013,879.999993794044,208.99999852608602,36.999999739067796
1980,5,34005700103,34,,34,884.3565963118859,5.01180652809206,17.357743458325,7.0295162486783695,,877.327080063208,0.023612926089990004,332.269199083452,,,,,,,,,,2077.87142546919,9.029516274697189,38.4805531678956,,3.03541942816322,,5.100355000929519,2022.2255815975,962.6163395136099,877.397918841477,617.963430225082,259.434488616395,85.21842067213241
1980,5,34005700104,34,,34,733.643411551191,1.988193527239,228.64225563248502,4.970483818097501,,728.6729277330941,3.976387054478,213.730804178192,,,,,,,,,,1999.1285916388101,4.970483818097501,754.5194435872,,5.964580581717,,16.8996449815315,1216.77443867027,777.3836691504491,740.602088896527,499.03657533698896,241.565513559538,36.7815802539215
1980,5,34005700200,34,,34,1088.00000249757,2.00000000459113,26.0000000596847,2.00000000459113,,1086.00000249298,1.0000000022955602,283.000000649645,,,,,,,,,,3068.00000704279,6.00000001377337,80.0000001836452,,2.00000000459113,,3.0000000068866894,2977.0000068339,1130.00000259399,1088.00000249757,807.000001852516,281.000000645054,42.0000000964137
1980,5,34005700303,34,,34,737.9999966011749,2.9999999861836404,201.999999069698,0.999999995394546,,736.99999660578,0.999999995394546,102.999999525638,,,,,,,,,,2309.9999893614004,6.999999967761821,622.9999971308021,,1.9999999907890902,,11.999999944734599,1665.9999923273099,739.999996591964,713.9999967117059,640.999997047904,72.99999966380192,25.999999880258198
1980,5,34005700304,34,,34,869.000000252912,5.00000000145519,20.0000000058208,5.00000000145519,,864.0000002514571,2.00000000058208,80.00000002328309,,,,,,,,,,2847.00000082859,29.0000000084402,64.0000000186265,,3.0000000008731096,,3.0000000008731096,2748.00000079977,909.0000002645539,893.000000259897,847.000000246509,46.0000000133878,16.0000000046566
1980,5,34005700305,34,,34,1376.9877863285599,17.0748709046541,40.0898449191827,2.01497419281668,,1374.97281213574,0.9999999915100941,98.49742015612829,,,,,,,,,,5031.7036317545,75.26953513959391,133.359379905958,,1.99999998302019,,20.999999821712,4800.074716904221,1393.74819882749,1376.58348266405,1323.4304689512,53.15301371285479,17.164716163433003
1980,5,34005700306,34,,34,886.0000006390089,12.000000008654801,12.000000008654801,5.00000000360615,,881.000000635403,2.00000000144246,67.0000000483224,,,,,,,,,,3178.00000229207,60.00000004327371,34.000000024521796,,7.0000000050486095,,1.00000000072123,3076.0000022185,893.0000006440581,880.000000634682,861.000000620979,19.0000000137034,13.000000009375999
1980,5,34005700307,34,,34,739.9999938492149,5.99999995012877,10.9999999085694,5.99999995012877,,733.999993899086,0.0,27.999999767267603,,,,,,,,,,2737.9999772420897,33.9999997173963,29.999999750643802,,0.0,,0.9999999916881279,2672.99997778237,745.999993799343,745.999993799343,736.9999938741499,8.99999992519315,0.0
1980,5,34005700401,34,,34,750.0000037925929,0.0,1.00000000505679,2.00000001011358,,748.000003782479,1.00000000505679,171.000000864711,,,,,,,,,,2176.00001100358,0.0,1.00000000505679,,1.00000000505679,,1.00000000505679,2173.00001098841,760.000003843161,742.0000037521389,674.0000034082769,68.0000003438618,18.000000091022198
1980,5,34005700402,34,,34,1316.99999578373,4.99999998399289,0.0,6.99999997759005,,1309.99999580614,0.0,213.999999314896,,,,,,,,,,3998.99998719752,14.9999999519787,18.999999939173,,0.9999999967985791,,3.9999999871943097,3959.9999873223705,1333.9999957292998,1324.99999575812,1223.99999608146,100.999999676656,8.999999971187211
1980,5,34005700403,34,,34,1612.0000026214002,10.0000000162618,1.00000000162618,7.00000001138324,,1605.00000261002,1.00000000162618,394.00000064071406,,,,,,,,,,4689.00000762514,32.0000000520376,29.000000047159098,,6.00000000975706,,15.0000000243926,4607.0000074918,1645.0000026750597,1612.0000026214002,1319.00000214493,293.00000047647,33.000000053663804
1980,5,34005700405,34,,34,704.000003780238,6.00000003221794,1.00000000536966,9.00000004832691,,695.000003731911,0.0,163.000000875254,,,,,,,,,,2115.00001135682,11.0000000590662,7.0000000375876,,1.00000000536966,,7.0000000375876,2089.00001121721,706.000003790978,687.000003688954,573.000003076813,114.000000612141,19.0000001020235
1980,5,34005700407,34,,34,2891.1401684013695,67.5725581930203,258.568462473292,42.749985795584294,,2848.39018260579,0.6895158999287788,1485.9067643465198,,,,,,,,,,5203.08698086256,163.415268283121,506.79418644765195,,2.06854769978634,,42.0604698956555,4488.7485085363505,3213.14409366811,2902.86193870016,388.19745165989997,2514.66448704026,310.28215496794996
1980,5,34005700408,34,,34,1301.88314013914,30.4276370773348,116.43169400924101,19.250326551884697,,1282.63281358726,0.310484100968893,669.096633761433,,,,,,,,,,2343.0053081420997,73.58562976859079,228.207414707679,,0.9315303758600071,,18.939647268532397,2021.3410860214399,1446.88062060477,1307.16195540276,174.82503385605,1132.3369215467098,139.718665202012
