g_yr,g_cy,Geo_FIPS,g_id,I,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_hi,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1970,5,34005700102,34,11634.5086705202,34,1028.0,,,,,,,,,,,,,,,,,3295.0,,0.0,,,,,0.0,3251.0,1045.0,1028.0,878.0,150.0,17.0
1970,5,34005700103,34,11241.559829059799,34,276.8604,,,,,,,,,,,,,,,,,868.6464,,186.071,,,,,1.891446,627.7235,282.7711,276.8603,196.00099999999998,80.8593,5.910783
1970,5,34005700104,34,11241.559829059799,34,894.1397,,,,,,,,,,,,,,,,,2805.3540000000003,,600.9291,,,,,6.108555,2027.277,913.2289,894.1398,632.999,261.1407,19.0892
1970,5,34005700200,34,13956.9239500568,34,1052.0,,,,,,,,,,,,,,,,,3412.0,,117.0,,,,,11.0,3231.0,1081.0,1052.0,800.0,252.0,29.0
1970,5,34005700303,34,15738.963963963899,34,730.0,,,,,,,,,,,,,,,,,2792.0,,680.0,,,,,10.0,2069.0,730.0,730.0,276.0,53.0,0.0
1970,5,34005700304,34,12568.2051282051,34,854.0,,,,,,,,,,,,,,,,,3152.0,,74.0,,,,,0.0,3072.0,878.0,854.0,792.0,62.0,24.0
1970,5,34005700305,34,17171.8918116102,34,1015.727,,,,,,,,,,,,,,,,,4255.619000000001,,107.0599,,,,,48.0,4047.855,1026.802,1015.727,975.9780000000001,39.748709999999996,11.07479
1970,5,34005700306,34,17881.5189048241,34,812.1921,,,,,,,,,,,,,,,,,3484.781,,28.732,,,,,50.281000000000006,3347.278,821.9404,812.1921,0.0,0.0,9.748369
1970,5,34005700307,34,17881.518904824,34,770.8079,,,,,,,,,,,,,,,,,3307.219,,27.268,,,,,47.718999999999994,3176.722,780.0595,770.8079,0.0,0.0,9.251608000000001
1970,5,34005700401,34,11264.2036124795,34,675.0,,,,,,,,,,,,,,,,,2377.0,,22.0,,,,,18.0,2320.0,681.0,675.0,607.0,68.0,6.0
1970,5,34005700402,34,10899.7704315886,34,1232.0,,,,,,,,,,,,,,,,,4170.0,,0.0,,,,,14.0,4150.0,1237.0,1232.0,1174.0,58.0,5.0
1970,5,34005700403,34,11231.362275449099,34,1543.0,,,,,,,,,,,,,,,,,5012.0,,0.0,,,,,47.0,4861.0,1566.0,1543.0,1251.0,292.0,23.0
1970,5,34005700405,34,12077.6483050847,34,431.1595,,,,,,,,,,,,,,,,,1119.458,,5.266419,,,,,4.579495,1083.737,456.1177,431.1595,142.1933,288.9661,24.95826
1970,5,34005700407,34,12077.6483050848,34,1001.067,,,,,,,,,,,,,,,,,2599.159,,12.22759,,,,,10.63268,2516.225,1059.015,1001.067,330.1448,670.9224,57.948130000000006
1970,5,34005700408,34,12078.163930190902,34,450.8093,,,,,,,,,,,,,,,,,1170.538,,5.5067,,,,,4.788255,1133.188,476.9033,450.8093,148.6965,302.1129,26.093970000000002
1970,5,34005700501,34,18000.7020757021,34,1881.0,,,,,,,,,,,,,,,,,5915.0,,6.0,,,,,73.0,5677.0,1912.0,1881.0,1444.0,437.0,31.0
1970,5,34005700502,34,14614.1327623126,34,508.2733,,,,,,,,,,,,,,,,,1948.381,,3.9401029999999997,,,,,0.0,1898.145,513.1984,508.2733,459.022,49.251290000000004,4.92511
1970,5,34005700503,34,18690.6997940182,34,949.3663,,,,,,,,,,,,,,,,,3136.277,,920.0018,,,,,3.002119,2188.228,969.3744,949.3663,812.2603,137.106,20.008129999999998
1970,5,34005700504,34,15538.430232558101,34,1036.634,,,,,,,,,,,,,,,,,3613.723,,4.998234,,,,,5.99788,3473.772,1059.626,1036.634,736.7397,299.894,22.991870000000002
1970,5,34005700505,34,24030.555555555497,34,243.0,,,,,,,,,,,,,,,,,1031.0,,0.0,,,,,20.0,1011.0,249.0,243.0,206.0,37.0,6.0
1970,5,34005700602,34,13119.3181818182,34,737.0,,,,,,,,,,,,,,,,,2783.0,,0.0,,,,,5.0,2668.0,764.0,737.0,651.0,86.0,27.0
1970,5,34005700603,34,12448.0831038175,34,1654.182,,,,,,,,,,,,,,,,,5628.718000000001,,28.924640000000004,,,,,7.480105,5410.513000000001,1735.661,1654.182,1167.5710000000001,486.6111,81.47906
1970,5,34005700605,34,12070.186697783001,34,586.8981,,,,,,,,,,,,,,,,,1586.529,,24.08074,,,,,9.520292999999999,1485.726,666.4205,586.8981,130.484,456.4141,79.52247
1970,5,34005700701,34,12147.238372093001,34,1153.0,,,,,,,,,,,,,,,,,3850.0,,61.0,,,,,0.0,3732.0,1164.0,1153.0,901.0,252.0,11.0
1970,5,34005700702,34,9162.48073959939,34,801.0,,,,,,,,,,,,,,,,,2278.0,,96.0,,,,,0.0,2100.0,818.0,801.0,501.0,300.0,17.0
1970,5,34005700703,34,9608.71632329636,34,807.9195,,,,,,,,,,,,,,,,,2477.7529999999997,,53.99462,,,,,3.999601,2391.762,823.9179,807.9195,554.9447,252.9748,15.99841
1970,5,34005700800,34,11753.9983164983,34,1319.0,,,,,,,,,,,,,,,,,4208.0,,36.0,,,,,11.0,4081.0,1353.0,1319.0,973.0,346.0,34.0
1970,5,34005700900,34,10521.6010165184,34,946.0,,,,,,,,,,,,,,,,,3127.0,,622.0,,,,,0.0,2477.0,963.0,946.0,642.0,304.0,17.0
1970,5,34005701001,34,10253.3823529412,34,814.0,,,,,,,,,,,,,,,,,2375.0,,135.0,,,,,20.0,2174.0,843.0,814.0,379.0,435.0,29.0
1970,5,34005701002,34,13887.3232965555,34,1319.5739999999998,,,,,,,,,,,,,,,,,5049.688,,185.2526,,,,,12.0,4725.185,1366.7060000000001,1319.5739999999998,993.3983,326.1759,47.13138
1970,5,34005701102,34,11598.025858110701,34,427.5683,,,,,,,,,,,,,,,,,1513.408,,66.98337,,,,,9.009249,1416.354,440.6477,427.5683,229.2559,198.3125,13.07934
1970,5,34005701103,34,10618.437900128001,34,878.0,,,,,,,,,,,,,,,,,3280.0,,1158.0,,,,,7.0,2040.0,901.0,878.0,627.0,251.0,23.0
1970,5,34005701104,34,12867.053513862,34,632.6627,,,,,,,,,,,,,,,,,2068.939,,44.70483,,,,,0.0,1979.8870000000002,655.9092,632.6627,424.517,208.1457,23.246489999999998
1970,5,34005701105,34,12871.4091847858,34,1138.484,,,,,,,,,,,,,,,,,3731.217,,83.92198,,,,,0.2048866,3566.947,1180.149,1138.484,764.7493,372.7908,41.66441
1970,5,34005701201,34,10856.702253855301,34,957.0,,,,,,,,,,,,,,,,,3179.0,,565.0,,,,,0.0,2585.0,971.0,957.0,786.0,171.0,14.0
1970,5,34005701203,34,10649.5502248876,34,745.9999,,,,,,,,,,,,,,,,,2330.0,,38.0,,,,,5.0,2260.0,758.9999,745.9999,470.9999,275.0,13.000010000000001
1970,5,34005701204,34,9698.197343453521,34,661.2082,,,,,,,,,,,,,,,,,2016.7160000000001,,634.6114,,,,,2.783383,1323.6529999999998,710.6906,661.2082,395.8589,265.3492,49.48236
1970,5,34005701205,34,9698.19734345347,34,1476.7920000000001,,,,,,,,,,,,,,,,,4504.284000000001,,1417.389,,,,,6.216616999999999,2956.347,1587.31,1476.7920000000001,884.1411,592.6508,110.5176
1970,5,34005701301,34,10673.5374673564,34,1265.247,,,,,,,,,,,,,,,,,3952.011,,585.0,,,,,8.0,3329.849,1317.2920000000001,1265.247,878.9222,386.3243,52.04521
1970,5,34005701302,34,11394.071428571398,34,842.5118,,,,,,,,,,,,,,,,,2629.235,,0.0,,,,,0.0,2568.415,859.4617,842.5117,720.8710000000001,121.6407,16.94998
1970,5,34005701303,34,10033.1554332999,34,602.2593,,,,,,,,,,,,,,,,,1931.819,,153.0007,,,,,0.0,1778.8,625.2647,602.2593,502.2202,100.0391,23.00535
1970,5,34005701401,34,11916.033478048501,34,664.4147,,,,,,,,,,,,,,,,,2449.224,,26.343729999999997,,,,,0.0012181339999999998,2366.114,681.8781,664.4147,504.6436,159.7711,17.46334
