Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"9A","Census Tract 9A, Philadelphia County, Pennsylvania","140","4210100901000","42","101",243,243,234,9,0,36,36,36,0,0,0,36,1,35
"9B","Census Tract 9B, Philadelphia County, Pennsylvania","140","4210100902000","42","101",985,985,973,12,0,308,308,283,25,25,0,283,4,279
"10A","Census Tract 10A, Philadelphia County, Pennsylvania","140","4210101001000","42","101",4367,4367,3783,314,270,613,613,472,141,140,1,472,36,436
"10B","Census Tract 10B, Philadelphia County, Pennsylvania","140","4210101002000","42","101",4288,4288,4142,111,35,1309,1309,1165,144,144,0,1165,94,1071
"11A","Census Tract 11A, Philadelphia County, Pennsylvania","140","4210101101000","42","101",2544,2544,2218,322,4,803,803,720,83,82,1,720,125,595
"11B","Census Tract 11B, Philadelphia County, Pennsylvania","140","4210101102000","42","101",1196,1196,831,364,1,377,377,336,41,41,0,336,30,306
"12A","Census Tract 12A, Philadelphia County, Pennsylvania","140","4210101201000","42","101",3569,3569,2995,549,25,1193,1193,1070,123,123,0,1070,200,870
"12B","Census Tract 12B, Philadelphia County, Pennsylvania","140","4210101202000","42","101",2309,2309,2015,294,0,695,695,614,81,81,0,614,116,498
"13A","Census Tract 13A, Philadelphia County, Pennsylvania","140","4210101301000","42","101",5849,5849,3394,2441,14,1763,1763,1689,74,71,3,1689,234,1455
"13B","Census Tract 13B, Philadelphia County, Pennsylvania","140","4210101302000","42","101",4878,4878,3463,1405,10,1794,1794,1628,166,162,4,1628,118,1510
"14A","Census Tract 14A, Philadelphia County, Pennsylvania","140","4210101401000","42","101",7406,7406,3572,3814,20,2096,2096,2024,72,64,8,2024,244,1780
"14B","Census Tract 14B, Philadelphia County, Pennsylvania","140","4210101402000","42","101",2307,2307,1963,303,41,559,559,518,41,38,3,518,76,442
"15A","Census Tract 15A, Philadelphia County, Pennsylvania","140","4210101501000","42","101",15187,15187,13620,1521,46,6733,6733,5865,868,864,4,5865,624,5241
"15B","Census Tract 15B, Philadelphia County, Pennsylvania","140","4210101502000","42","101",2544,2544,2325,209,10,779,779,703,76,76,0,703,80,623
"15C","Census Tract 15C, Philadelphia County, Pennsylvania","140","4210101503000","42","101",9713,9713,7694,2014,5,2781,2781,2526,255,250,5,2526,592,1934
"15D","Census Tract 15D, Philadelphia County, Pennsylvania","140","4210101504000","42","101",10678,10678,10630,47,1,3231,3231,2707,524,521,3,2707,1057,1650
"15E","Census Tract 15E, Philadelphia County, Pennsylvania","140","4210101505000","42","101",5,5,3,2,0,3,3,3,0,0,0,3,0,3
"16A","Census Tract 16A, Philadelphia County, Pennsylvania","140","4210101601000","42","101",8157,8157,7863,290,4,2379,2379,2194,185,179,6,2194,553,1641
"17A","Census Tract 17A, Philadelphia County, Pennsylvania","140","4210101701000","42","101",10218,10218,10048,161,9,2990,2990,2767,223,219,4,2767,634,2133
"18A","Census Tract 18A, Philadelphia County, Pennsylvania","140","4210101801000","42","101",4740,4740,4731,7,2,1254,1254,1184,70,65,5,1184,419,765
"18B","Census Tract 18B, Philadelphia County, Pennsylvania","140","4210101802000","42","101",7031,7031,7028,3,0,1844,1844,1776,68,65,3,1776,793,983
"18C","Census Tract 18C, Philadelphia County, Pennsylvania","140","4210101803000","42","101",4028,4028,4027,0,1,1082,1082,1033,49,49,0,1033,426,607
"18D","Census Tract 18D, Philadelphia County, Pennsylvania","140","4210101804000","42","101",4450,4450,4450,0,0,1064,1064,1014,50,49,1,1014,535,479
"19A","Census Tract 19A, Philadelphia County, Pennsylvania","140","4210101901000","42","101",17128,17128,16596,507,25,4652,4652,4465,187,172,15,4465,1641,2824
"19B","Census Tract 19B, Philadelphia County, Pennsylvania","140","4210101902000","42","101",10712,10712,10564,135,13,3207,3207,3074,133,130,3,3074,1189,1885
"19C","Census Tract 19C, Philadelphia County, Pennsylvania","140","4210101903000","42","101",12854,12854,12679,161,14,3435,3435,3251,184,179,5,3251,1163,2088
"20A","Census Tract 20A, Philadelphia County, Pennsylvania","140","4210102001000","42","101",14526,14526,12068,2426,32,4711,4711,4309,402,398,4,4309,890,3419
"20B","Census Tract 20B, Philadelphia County, Pennsylvania","140","4210102002000","42","101",11681,11681,1759,9901,21,3345,3345,3143,202,202,0,3143,327,2816
"20C","Census Tract 20C, Philadelphia County, Pennsylvania","140","4210102003000","42","101",2718,2718,1055,1654,9,867,867,814,53,51,2,814,95,719
"20D","Census Tract 20D, Philadelphia County, Pennsylvania","140","4210102004000","42","101",11440,11440,6490,4939,11,3376,3376,3189,187,186,1,3189,504,2685
"21A","Census Tract 21A, Philadelphia County, Pennsylvania","140","4210102101000","42","101",955,955,928,27,0,493,493,373,120,117,3,373,38,335
"21B","Census Tract 21B, Philadelphia County, Pennsylvania","140","4210102102000","42","101",1039,1039,1019,20,0,257,257,246,11,11,0,246,135,111
"21C","Census Tract 21C, Philadelphia County, Pennsylvania","140","4210102103000","42","101",53,53,53,0,0,15,15,14,1,0,1,14,1,13
"21D","Census Tract 21D, Philadelphia County, Pennsylvania","140","4210102104000","42","101",271,271,271,0,0,71,71,69,2,2,0,69,40,29
"21E","Census Tract 21E, Philadelphia County, Pennsylvania","140","4210102105000","42","101",311,311,308,3,0,84,84,84,0,0,0,84,43,41
"21F","Census Tract 21F, Philadelphia County, Pennsylvania","140","4210102106000","42","101",187,187,186,0,1,51,51,48,3,3,0,48,12,36
"21G","Census Tract 21G, Philadelphia County, Pennsylvania","140","4210102107000","42","101",279,279,279,0,0,77,77,71,6,6,0,71,26,45
"21H","Census Tract 21H, Philadelphia County, Pennsylvania","140","4210102108000","42","101",109,109,90,19,0,27,27,27,0,0,0,27,10,17
"21I","Census Tract 21I, Philadelphia County, Pennsylvania","140","4210102109000","42","101",175,175,175,0,0,49,49,48,1,1,0,48,15,33
"21J","Census Tract 21J, Philadelphia County, Pennsylvania","140","4210102110000","42","101",546,546,546,0,0,158,158,152,6,6,0,152,99,53
"21K","Census Tract 21K, Philadelphia County, Pennsylvania","140","4210102111000","42","101",237,237,233,4,0,56,56,53,3,3,0,53,38,15
"21L","Census Tract 21L, Philadelphia County, Pennsylvania","140","4210102112000","42","101",108,108,108,0,0,27,27,26,1,1,0,26,13,13
"21M","Census Tract 21M, Philadelphia County, Pennsylvania","140","4210102113000","42","101",334,334,334,0,0,78,78,78,0,0,0,78,30,48
"21N","Census Tract 21N, Philadelphia County, Pennsylvania","140","4210102114000","42","101",3769,3769,3686,82,1,848,848,838,10,9,1,838,449,389
"21O","Census Tract 21O, Philadelphia County, Pennsylvania","140","4210102115000","42","101",1609,1609,1609,0,0,427,427,422,5,5,0,422,233,189
"21P","Census Tract 21P, Philadelphia County, Pennsylvania","140","4210102116000","42","101",821,821,817,4,0,216,216,212,4,3,1,212,148,64
"21Q","Census Tract 21Q, Philadelphia County, Pennsylvania","140","4210102117000","42","101",2058,2058,2023,33,2,564,564,555,9,9,0,555,325,230
"21R","Census Tract 21R, Philadelphia County, Pennsylvania","140","4210102118000","42","101",4985,4985,4937,48,0,1269,1269,1250,19,16,3,1250,747,503
"21S","Census Tract 21S, Philadelphia County, Pennsylvania","140","4210102119000","42","101",7232,7232,6785,447,0,1675,1675,1628,47,46,1,1628,877,751
"21T","Census Tract 21T, Philadelphia County, Pennsylvania","140","4210102120000","42","101",8202,8202,8079,123,0,1920,1920,1888,32,32,0,1888,1028,860
"21U","Census Tract 21U, Philadelphia County, Pennsylvania","140","4210102121000","42","101",1782,1782,1781,1,0,498,498,489,9,8,1,489,247,242
"21V","Census Tract 21V, Philadelphia County, Pennsylvania","140","4210102122000","42","101",4317,4317,4310,7,0,1135,1135,1088,47,45,2,1088,571,517
"22A","Census Tract 22A, Philadelphia County, Pennsylvania","140","4210102201000","42","101",6077,6077,5656,420,1,1502,1502,1452,50,50,0,1452,604,848
"22B","Census Tract 22B, Philadelphia County, Pennsylvania","140","4210102202000","42","101",706,706,702,4,0,162,162,160,2,2,0,160,66,94
"22C","Census Tract 22C, Philadelphia County, Pennsylvania","140","4210102203000","42","101",758,758,756,2,0,204,204,189,15,15,0,189,93,96
"22D","Census Tract 22D, Philadelphia County, Pennsylvania","140","4210102204000","42","101",2823,2823,2799,23,1,938,938,842,96,96,0,842,425,417
"22E","Census Tract 22E, Philadelphia County, Pennsylvania","140","4210102205000","42","101",2641,2641,2602,36,3,794,794,744,50,49,1,744,444,300
"22F","Census Tract 22F, Philadelphia County, Pennsylvania","140","4210102206000","42","101",2749,2749,2712,35,2,784,784,754,30,28,2,754,581,173
"22G","Census Tract 22G, Philadelphia County, Pennsylvania","140","4210102207000","42","101",2082,2082,2036,46,0,508,508,495,13,13,0,495,219,276
"22H","Census Tract 22H, Philadelphia County, Pennsylvania","140","4210102208000","42","101",2065,2065,2048,14,3,554,554,523,31,31,0,523,285,238
"22I","Census Tract 22I, Philadelphia County, Pennsylvania","140","4210102209000","42","101",867,867,833,30,4,128,128,117,11,11,0,117,102,15
"22J","Census Tract 22J, Philadelphia County, Pennsylvania","140","4210102210000","42","101",541,541,516,25,0,66,66,62,4,4,0,62,39,23
"22K","Census Tract 22K, Philadelphia County, Pennsylvania","140","4210102211000","42","101",26,26,26,0,0,5,5,5,0,0,0,5,0,5
"22L","Census Tract 22L, Philadelphia County, Pennsylvania","140","4210102212000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22M","Census Tract 22M, Philadelphia County, Pennsylvania","140","4210102213000","42","101",30,30,30,0,0,5,5,5,0,0,0,5,3,2
"22N","Census Tract 22N, Philadelphia County, Pennsylvania","140","4210102214000","42","101",105,105,104,1,0,25,25,24,1,1,0,24,20,4
"22O","Census Tract 22O, Philadelphia County, Pennsylvania","140","4210102215000","42","101",1176,1176,1137,39,0,333,333,317,16,16,0,317,145,172
"22P","Census Tract 22P, Philadelphia County, Pennsylvania","140","4210102216000","42","101",1865,1865,1761,104,0,443,443,421,22,18,4,421,167,254
"22Q","Census Tract 22Q, Philadelphia County, Pennsylvania","140","4210102217000","42","101",106,106,103,3,0,27,27,23,4,4,0,23,8,15
"22R","Census Tract 22R, Philadelphia County, Pennsylvania","140","4210102218000","42","101",1266,1266,1210,56,0,153,153,147,6,5,1,147,88,59
"22S","Census Tract 22S, Philadelphia County, Pennsylvania","140","4210102219000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22T","Census Tract 22T, Philadelphia County, Pennsylvania","140","4210102220000","42","101",574,574,534,39,1,152,152,141,11,5,6,141,121,20
"22U","Census Tract 22U, Philadelphia County, Pennsylvania","140","4210102221000","42","101",4294,4294,4260,31,3,1290,1290,1220,70,65,5,1220,527,693
