Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T077_001,SE_T099_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003
"42017102300","Census Tract 1023","Census Tract 1023, Bucks County, Pennsylvania","00","42","017","102300",2844.573,2795.927,2698.874,97.05041,0.003029877,863.6414,655.11,83.38536,44.59531,38.79005,56.55265,68.59336,11957.7773838236,877.5857,863.6414,637.3292,226.3123,877.5857,863.6414,13.94426
"42017102401","Census Tract 1024.01","Census Tract 1024.01, Bucks County, Pennsylvania","00","42","017","102401",2462.395,2416.958,2416.422,0.5351691,0,833.0087,599.9696,79.1205,7.878373,71.24213,46.70586,107.2127,11687.5920522718,852.8567,833.0087,597.4422,235.5665,852.8567,833.0087,19.84804
"42017102402","Census Tract 1024.02","Census Tract 1024.02, Bucks County, Pennsylvania","00","42","017","102402",3041.139,2985.013,2984.604,0.4086671,0,1029.051,741.0817,97.73741,9.637224,88.10019,57.67645,132.5558,11686.952167506,1053.588,1029.051,737.9993,291.0521,1053.588,1029.051,24.53653
"42017102500","Census Tract 1025","Census Tract 1025, Bucks County, Pennsylvania","00","42","017","102500",2776.451,2697.202,2696.952,0.1870851,0.06209685,860.2911,614.658,100.0984,9.163057,90.93536,68.29559,77.23912,10647.0569407161,885.4333,860.2911,683.2078,177.0833,885.4333,860.2911,25.14225
"42017102600","Census Tract 1026","Census Tract 1026, Bucks County, Pennsylvania","00","42","017","102600",740.8035,740.788,740.7765,0.01018837,0.001323827,234.8942,163.8425,21.59539,10.78975,10.80564,16.18427,33.27208,9744.68295613661,240.3005,234.8942,122.5243,112.3699,240.3005,234.8942,5.406275
"42017102700","Census Tract 1027","Census Tract 1027, Bucks County, Pennsylvania","00","42","017","102700",3359.06,3291.77,3267.961,17.83676,5.971758,968.8197,730.7781,97.48502,39.72978,57.75525,34.306,106.2506,12240.8318358763,1050.595,968.8197,825.5812,143.2385,1050.595,968.8197,81.77576
"42017102801","Census Tract 1028.01","Census Tract 1028.01, Bucks County, Pennsylvania","00","42","017","102801",1419.435,1389.471,1389.471,0,0,418.5363,324.6433,43.94738,15.98126,27.96613,29.96517,19.98049,10908.42688338,435.5252,418.5363,358.5943,59.94204,435.5252,418.5363,16.98882
"42017103101","Census Tract 1031.01","Census Tract 1031.01, Bucks County, Pennsylvania","00","42","017","103101",2120.189,2094.25,2094.247,0.002733391,0.0009745263,783.5204,528.1158,63.37695,0.004091706,63.37286,60.49499,131.5326,9882.1314827158,783.522,783.5203,528.1251,255.3953,783.522,783.5203,0.001638506
"42017103102","Census Tract 1031.02","Census Tract 1031.02, Bucks County, Pennsylvania","00","42","017","103102",2277.698,2267.565,2234.568,5.016212,27.98078,821.3895,554.3836,59.06285,10.01874,49.04411,63.02354,144.9195,12114.0857887492,871.3638,821.3895,471.5223,349.8672,871.3638,821.3895,49.97436
"42017103103","Census Tract 1031.03","Census Tract 1031.03, Bucks County, Pennsylvania","00","42","017","103103",2740.542,2735.792,2735.624,0.1272189,0.04085261,966.6595,711.0688,82.47662,13.80202,68.6746,80.3258,92.78828,11244.7083434005,1077.76,966.6595,558.6123,408.0472,1077.76,966.6595,111.1006
"42017103300","Census Tract 1033","Census Tract 1033, Bucks County, Pennsylvania","00","42","017","103300",1386.645,1365.585,1360.559,0.02829523,4.997843,401.4921,329.2073,30.09988,15.01617,15.08371,17.08074,25.1042,11695.0310843031,454.5792,401.4921,318.2509,83.24124,454.5792,401.4921,53.08705
